,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
1,46.4912,43.878,42.5624,52.9764,45.7558,39.2922,48.0303,48.6625,42.7537,47.4229
2,8.9736,10.8441,7.7141,3.9998,9.5274,8.6621,4.6214,5.061,12.908,7.9029
3,0,0,0,0,0,0,0,0,0,0
4,1.1837,3.4066,1.665,1.0674,0,1.3018,0.6291,1.3,0,0.4148
5,43.3516,41.8713,48.0586,41.9565,44.7168,50.7439,46.7192,44.9765,44.3383,44.2595
