,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
etopo.contribution,44.9059,35.8712,42.3603,47.9788,42.228,30.528,43.9846,42.8352,42.5329,46.8788
imax.contribution,4.2333,4.2787,4.7332,6.639,5.7539,7.1044,3.046,4.4109,7.127,9.4905
imin.contribution,0,0,0,0,0,0,0,0,0,0
savg.contribution,0.1341,0.4284,0.3969,0.1249,0,0.2697,0.2061,0.2082,1e-04,0.166
tavg.contribution,50.7266,59.4217,52.5096,45.2573,52.0181,62.0979,52.7633,52.5458,50.3401,43.4647
