X,Y,GadusMacrocephalus_PA1_RUN8 logistic values
-178.5,72.5,0.04607569
-176.5,71.5,0.072638854
-174.5,71.5,0.09324464
-175.5,70.5,0.11534164
-171.5,70.5,0.14381321
-178.5,69.5,0.1614243
-177.5,69.5,0.16100888
-176.5,69.5,0.1403371
-175.5,69.5,0.14472742
-172.5,69.5,0.16901475
-170.5,69.5,0.19044055
-167.5,69.5,0.25773978
-174.5,68.5,0.19272406
-171.5,68.5,0.2109048
-169.5,68.5,0.24641308
-167.5,68.5,0.33129713
-172.5,67.5,0.21621266
-170.5,67.5,0.2611267
-169.5,67.5,0.28362882
-167.5,67.5,0.36613235
-169.5,66.5,0.30966663
-168.5,66.5,0.35228136
-167.5,66.5,0.39763388
-168.5,65.5,0.28674343
-179.5,63.5,0.65971756
-178.5,63.5,0.55641264
-178.5,62.5,0.59926426
-175.5,62.5,0.5450577
-172.5,62.5,0.5229908
-167.5,62.5,0.67122835
-174.5,61.5,0.5983614
-172.5,61.5,0.58875597
-167.5,61.5,0.6738207
-170.5,60.5,0.64531904
-168.5,60.5,0.66137886
-167.5,60.5,0.67040503
176.5,60.5,0.05291359
177.5,60.5,0.059555862
178.5,60.5,0.10193342
-179.5,59.5,0.06742031
159.5,59.5,0.5534677
173.5,59.5,0.057395518
174.5,59.5,0.046265252
175.5,59.5,0.038798414
176.5,59.5,0.03775672
-179.5,58.5,0.046015106
-142.5,58.5,0.32538202
155.5,58.5,0.4575652
157.5,58.5,0.5329033
172.5,58.5,0.050150685
173.5,58.5,0.058607962
175.5,58.5,0.062990576
177.5,58.5,0.058044247
178.5,58.5,0.04333952
-178.5,57.5,0.17308371
-177.5,57.5,0.2135952
-176.5,57.5,0.28172296
-148.5,57.5,0.3280554
-146.5,57.5,0.13466439
-144.5,57.5,0.23652163
-140.5,57.5,0.2920083
147.5,57.5,0.63163227
149.5,57.5,0.59554464
155.5,57.5,0.5610553
165.5,57.5,0.0502387
171.5,57.5,0.46520182
175.5,57.5,0.1634697
177.5,57.5,0.16152039
178.5,57.5,0.056772657
-175.5,56.5,0.21958241
-174.5,56.5,0.2967194
-150.5,56.5,0.05537811
-146.5,56.5,0.77664226
-144.5,56.5,0.20197676
-143.5,56.5,0.21121077
-137.5,56.5,0.438755
142.5,56.5,0.67643476
145.5,56.5,0.62751627
146.5,56.5,0.5994129
149.5,56.5,0.60026234
151.5,56.5,0.5494754
154.5,56.5,0.6070225
166.5,56.5,0.12357633
167.5,56.5,0.03918962
169.5,56.5,0.13760485
170.5,56.5,0.6775982
171.5,56.5,0.16455796
173.5,56.5,0.16557696
178.5,56.5,0.16434936
-179.5,55.5,0.17556706
-175.5,55.5,0.20633964
-174.5,55.5,0.23454304
-173.5,55.5,0.25935343
-171.5,55.5,0.30686617
-151.5,55.5,0.10378733
-150.5,55.5,0.13157544
-145.5,55.5,0.17564677
-143.5,55.5,0.1904678
-139.5,55.5,0.2690034
-138.5,55.5,0.32277986
140.5,55.5,0.71244705
146.5,55.5,0.6198151
147.5,55.5,0.53992647
148.5,55.5,0.54876584
151.5,55.5,0.5749126
153.5,55.5,0.535959
164.5,55.5,0.028795347
167.5,55.5,0.37196714
168.5,55.5,0.20190689
172.5,55.5,0.16750342
178.5,55.5,0.16238444
179.5,55.5,0.16963449
-177.5,54.5,0.18485285
-173.5,54.5,0.22283131
-171.5,54.5,0.29039398
-169.5,54.5,0.4990534
-153.5,54.5,0.16016586
-152.5,54.5,0.15820727
-151.5,54.5,0.16035256
-141.5,54.5,0.20702702
-140.5,54.5,0.2630525
-139.5,54.5,0.28052273
-136.5,54.5,0.34649065
140.5,54.5,0.75674236
143.5,54.5,0.6285057
144.5,54.5,0.36856022
149.5,54.5,0.5018582
152.5,54.5,0.5683383
162.5,54.5,0.1913122
165.5,54.5,0.021018984
166.5,54.5,0.4104643
167.5,54.5,0.8998357
174.5,54.5,0.16422217
176.5,54.5,0.40045178
177.5,54.5,0.50230086
178.5,54.5,0.65192044
-176.5,53.5,0.18715829
-175.5,53.5,0.19868422
-174.5,53.5,0.20480718
-159.5,53.5,0.05069481
-152.5,53.5,0.15408814
-151.5,53.5,0.11326881
-150.5,53.5,0.11972269
-149.5,53.5,0.13748308
-137.5,53.5,0.22613294
-136.5,53.5,0.30978176
144.5,53.5,0.43983305
147.5,53.5,0.34218153
149.5,53.5,0.29595277
150.5,53.5,0.4345853
151.5,53.5,0.52227086
164.5,53.5,0.247656
165.5,53.5,0.16350852
167.5,53.5,0.028893026
168.5,53.5,0.099375136
175.5,53.5,0.16569903
176.5,53.5,0.17131099
178.5,53.5,0.36589605
179.5,53.5,0.43077037
-178.5,52.5,0.23218778
-162.5,52.5,0.09187302
-161.5,52.5,0.10946809
-159.5,52.5,0.100347325
-157.5,52.5,0.10288235
-156.5,52.5,0.114014484
-155.5,52.5,0.118254386
-154.5,52.5,0.11199998
-133.5,52.5,0.35613295
147.5,52.5,0.32555825
152.5,52.5,0.5749593
154.5,52.5,0.69774145
161.5,52.5,0.007020069
167.5,52.5,0.113231525
169.5,52.5,0.1564203
171.5,52.5,0.09514371
-170.5,51.5,0.07361232
-167.5,51.5,0.06904738
-166.5,51.5,0.07410155
-162.5,51.5,0.100890085
-161.5,51.5,0.10336087
-159.5,51.5,0.0867503
-158.5,51.5,0.08454403
-134.5,51.5,0.17017184
-133.5,51.5,0.18499236
-130.5,51.5,0.5975405
145.5,51.5,0.43335792
146.5,51.5,0.35815546
148.5,51.5,0.34616622
149.5,51.5,0.35258994
150.5,51.5,0.38306814
151.5,51.5,0.41266644
153.5,51.5,0.54396427
159.5,51.5,0.09764503
161.5,51.5,0.026858896
163.5,51.5,0.04852103
166.5,51.5,0.13358238
168.5,51.5,0.15490575
169.5,51.5,0.21256301
172.5,51.5,0.015635764
173.5,51.5,0.005891595
-179.5,50.5,0.021031601
-178.5,50.5,0.017119119
-174.5,50.5,0.015565025
-173.5,50.5,0.03198711
-172.5,50.5,0.03954062
-169.5,50.5,0.06965306
-168.5,50.5,0.10534088
-167.5,50.5,0.061632976
-164.5,50.5,0.09107649
-163.5,50.5,0.08131775
-131.5,50.5,0.1759906
-130.5,50.5,0.38842398
-129.5,50.5,0.38356578
149.5,50.5,0.33733255
150.5,50.5,0.3355986
152.5,50.5,0.4296348
154.5,50.5,0.3567072
160.5,50.5,0.027816514
162.5,50.5,0.02832281
165.5,50.5,0.06105299
166.5,50.5,0.06764066
168.5,50.5,0.1191005
171.5,50.5,0.119577035
172.5,50.5,0.033885982
176.5,50.5,0.0481259
177.5,50.5,0.009242889
178.5,50.5,0.005435286
-178.5,49.5,0.09048222
-175.5,49.5,0.07625032
-173.5,49.5,0.08061251
-131.5,49.5,0.13422905
-129.5,49.5,0.2131655
141.5,49.5,0.5652794
145.5,49.5,0.589391
146.5,49.5,0.45396197
147.5,49.5,0.38043752
150.5,49.5,0.41854453
154.5,49.5,0.6327885
160.5,49.5,0.038105663
161.5,49.5,0.037722483
164.5,49.5,0.03309442
168.5,49.5,0.08892191
174.5,49.5,0.080687575
176.5,49.5,0.06648643
178.5,49.5,0.12224807
179.5,49.5,0.08822036
-175.5,48.5,0.035602596
-131.5,48.5,0.092370994
-130.5,48.5,0.10673213
141.5,48.5,0.56901425
146.5,48.5,0.4138468
148.5,48.5,0.33437476
151.5,48.5,0.04449868
152.5,48.5,0.048088446
155.5,48.5,0.35556614
156.5,48.5,0.011297757
158.5,48.5,0.035949763
161.5,48.5,0.032286327
162.5,48.5,0.027198553
170.5,48.5,0.028861566
171.5,48.5,0.09399391
172.5,48.5,0.15744914
-128.5,47.5,0.09091427
145.5,47.5,0.350601
148.5,47.5,0.05839483
154.5,47.5,0.38898435
157.5,47.5,0.06447066
159.5,47.5,0.04881156
161.5,47.5,0.03691709
162.5,47.5,0.027832132
163.5,47.5,0.027748773
164.5,47.5,0.029912217
167.5,47.5,0.020370599
168.5,47.5,0.04155676
169.5,47.5,0.58722544
172.5,47.5,0.03636733
173.5,47.5,0.026796186
175.5,47.5,0.037349958
176.5,47.5,0.028681338
177.5,47.5,0.03626403
178.5,47.5,0.038680367
-127.5,46.5,0.06334702
-126.5,46.5,0.07325494
-125.5,46.5,0.16096838
144.5,46.5,0.17103937
147.5,46.5,0.06410919
150.5,46.5,0.05302272
151.5,46.5,0.29606226
153.5,46.5,0.05801721
154.5,46.5,0.004359133
155.5,46.5,0.06047858
156.5,46.5,0.064633206
160.5,46.5,0.0392822
161.5,46.5,0.03761707
174.5,46.5,0.037508927
177.5,46.5,0.034464505
178.5,46.5,0.033771653
179.5,46.5,0.031005472
139.5,45.5,0.64231557
144.5,45.5,0.553143
146.5,45.5,0.08244708
149.5,45.5,0.46567506
151.5,45.5,0.1627355
152.5,45.5,0.007834657
153.5,45.5,0.0047137938
154.5,45.5,0.05846917
155.5,45.5,0.067078054
156.5,45.5,0.039002478
178.5,45.5,0.03626012
179.5,45.5,0.024253916
-125.5,44.5,0.042519793
140.5,44.5,0.6663194
144.5,44.5,0.80971766
155.5,44.5,0.044013005
138.5,43.5,0.07361383
139.5,43.5,0.06890764
148.5,43.5,0.028783156
153.5,43.5,0.035938732
154.5,43.5,0.026703581
156.5,43.5,0.03074923
-127.5,42.5,0.016980533
-125.5,42.5,0.028234225
136.5,42.5,0.10901511
138.5,42.5,0.030127265
147.5,42.5,0.013429619
148.5,42.5,0.020254618
150.5,42.5,0.03541727
-126.5,41.5,0.020491838
135.5,41.5,0.08925694
138.5,41.5,0.010943999
146.5,41.5,0.012620375
150.5,41.5,0.010604125
131.5,40.5,0.03751134
132.5,40.5,0.037397537
133.5,40.5,0.036341555
134.5,40.5,0.053717665
135.5,40.5,0.04037037
138.5,40.5,0.005231336
142.5,40.5,0.42362344
143.5,40.5,0.15328874
145.5,40.5,0.004515923
146.5,40.5,0.004649902
147.5,40.5,0.0035236108
148.5,40.5,0.0025026589
149.5,40.5,0.0018861454
150.5,40.5,0.0011857324
131.5,39.5,0.0065558916
134.5,39.5,0.025047794
135.5,39.5,0.081768006
138.5,39.5,0.002793759
146.5,39.5,4.9733813E-4
148.5,39.5,1.7406156E-4
149.5,39.5,1.5681668E-4
150.5,39.5,8.844894E-5
151.5,39.5,7.484947E-5
-126.5,38.5,9.95928E-4
120.5,38.5,0.50906235
130.5,38.5,7.056209E-4
132.5,38.5,0.0013803717
133.5,38.5,0.006145362
135.5,38.5,5.431439E-4
138.5,38.5,0.0010139168
143.5,38.5,0.001127283
