X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-125.5,47.5,train,0.004044363991994435,29.531864338311536,0.3861058966817151
-147.5,58.5,train,0.009345493105034226,58.4976293380936,0.59239115101701
-149.5,57.5,train,0.017999291989299636,88.2660428694105,0.7367796499244292
-150.5,57.5,train,0.13049813098731075,100.0,0.9530383499630015
-151.5,56.5,train,0.007431895284476853,43.960920351166116,0.536123412228121
-153.5,55.5,train,9.376834823546057E-4,6.3798069408808145,0.1272630600638727
-156.5,55.5,train,0.1402408290350377,100.0,0.956157797537594
-157.5,54.5,train,0.008260498120973354,51.25198203457191,0.562287213418309
-158.5,54.5,train,0.03389190820238342,95.46356708877057,0.8405252266351851
-163.5,55.5,train,0.028632066706119813,94.46420619313831,0.8166018588122126
-164.5,56.5,train,0.025538726224659976,93.22539471308208,0.7988562037953424
-164.5,57.5,train,0.01841553721618732,88.47052767509328,0.7411893955018172
-165.5,55.5,train,0.04286547578462224,97.16853301115884,0.8695552001537228
-165.5,56.5,train,0.024683053121117002,92.75747178800509,0.7933244039283073
-166.5,56.5,train,0.023888028424864843,92.32279261827401,0.7879048531863749
-166.5,57.5,train,0.018036257699437338,88.28420265998773,0.7371773393660762
-167.5,55.5,train,0.049615067354653306,98.4509430744438,0.8852647540547512
-167.5,56.5,train,0.02313745365837216,91.91233666435176,0.7825208532171689
-167.5,58.5,train,0.016307361418442634,87.43485677000369,0.7171932553108821
-167.5,59.5,train,0.01490694240643808,85.74932240864612,0.6986319868068346
-168.5,56.5,train,0.021899983773324687,91.05080849959441,0.7730213702921388
-168.5,57.5,train,0.02044744652530259,89.6718713853418,0.7607549468738065
-168.5,58.5,train,0.01583071387645763,87.10211588394193,0.711137888738831
-169.5,53.5,train,0.011602279963806151,71.78818308763191,0.6434033601987308
-169.5,56.5,train,0.021580002479581178,90.74708136048773,0.7704284427710205
-169.5,57.5,train,0.020590503017818694,89.80764377315141,0.7620215800336666
-169.5,59.5,train,0.014109409874238458,84.83686355281954,0.6869302757402759
-170.5,52.5,train,0.09245814449894096,100.0,0.9349733583486821
-170.5,53.5,train,0.009144411743914687,56.188525507179456,0.5871286412614203
-170.5,55.5,train,0.002930450648412294,20.616021257453625,0.313054243107056
-170.5,56.5,train,0.020515228836952903,89.73620237846795,0.7613567732153312
-170.5,58.5,train,0.01430818481798428,85.05882058438475,0.6899309843054943
-171.5,52.5,train,0.0721675387815368,100.0,0.9181862752796603
-171.5,53.5,train,0.006244126468634075,38.952538533860256,0.49265207512129894
-171.5,57.5,train,0.01942023159544242,88.96409130332528,0.7512481697653954
-171.5,60.5,train,0.009882541101459207,64.6012338705925,0.6058102922130288
-172.5,51.5,train,0.001503843072674399,11.856191689439015,0.1895385731118757
-172.5,52.5,train,0.08002324147852619,100.0,0.9256203678971725
-172.5,56.5,train,0.03307025175219386,95.30745145402445,0.8372079772725924
-172.5,57.5,train,0.019160601350614377,88.836548195488,0.7487244886934173
-173.5,51.5,train,7.715825945994423E-4,5.2602827137888735,0.10713490854071994
-173.5,56.5,train,0.004159208142685488,30.320840310042122,0.39276357631892345
-173.5,57.5,train,0.015578955480826894,86.73336552462277,0.7078336803406348
-173.5,58.5,train,0.01600380619748383,87.28573335527192,0.7133666209176911
-174.5,51.5,train,8.056643272661405E-4,5.471657886181732,0.11134029329095406
-174.5,57.5,train,0.0010696474604293357,7.163123489819668,0.14261896336063556
-174.5,58.5,train,0.016493162871597654,87.52613290443843,0.7194854787783725
-175.5,58.5,train,0.017650567074664787,88.0947172621576,0.7329678621829945
-175.5,61.5,train,0.009657843256134502,63.79471256586907,0.6003048037779408
-176.5,58.5,train,0.005584629058964068,37.851367257445204,0.4648040407921884
-176.5,60.5,train,0.011441129063741451,71.10375346521015,0.6401878600680913
-176.5,61.5,train,0.009949365462322262,64.81327342337511,0.6074184649694935
-177.5,51.5,train,0.021558644244421634,90.72680806392879,0.770253258325774
-177.5,58.5,train,9.603174317867537E-4,6.447644409115474,0.12993580634155413
-177.5,60.5,train,0.011586350628583972,71.66554094070544,0.643088078552128
-179.5,52.5,train,0.03794042087972963,96.23278897807911,0.8550761361145327
-179.5,60.5,train,0.005138192343438421,36.40499562670977,0.44415059038287374
175.5,51.5,train,0.0078029265813894565,46.8871273707046,0.5482156565118418
175.5,52.5,train,0.08767135722856978,100.0,0.9316655695759075
177.5,52.5,train,0.002425424658215844,17.197077810925094,0.2738793615223937
