Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.853E-12,0.000000001,0.000000001,0.995959596,0,0
8.42893E-12,0.000000003,0.000000002,0.991919192,0,0
1.77195E-11,0.00000001,0.000000004,0.97979798,0,0
5.25071E-11,0.000000027,0.000000011,0.971717172,0,0
1.57508E-10,0.000000102,0.000000032,0.957575758,0,0
4.01774E-10,0.000000251,0.000000081,0.943434343,0,0
9.61345E-10,0.00000103,0.000000195,0.919191919,0,0
2.22218E-9,0.000002611,0.000000451,0.901010101,0,0
7.70139E-9,0.000010287,0.000001561,0.868686869,0,0
2.12429E-8,0.000025094,0.000004307,0.846464646,0,0
5.68158E-8,0.000052801,0.000011518,0.834343434,0,0
1.78764E-7,0.000109915,0.00003624,0.822222222,0,0
3.88501E-7,0.000267581,0.000078755,0.81010101,0,0
7.25365E-7,0.000507766,0.000147032,0.802020202,0,0
1.28104E-6,0.001009687,0.000259637,0.791919192,0,0
7.99751E-6,0.003235019,0.001618712,0.781818182,0,0
1.2023E-5,0.005399188,0.002431505,0.777777778,0,0
1.6711E-5,0.011472691,0.003376393,0.76969697,0,0
3.05047E-5,0.026257351,0.006146204,0.757575758,0,0
4.21203E-5,0.052403301,0.008466751,0.743434343,0,0
7.41079E-5,0.100735458,0.014801539,0.725252525,0,0
1.18435E-4,0.207561268,0.023447409,0.705050505,0,0
1.53756E-4,0.30574338,0.030228793,0.690909091,0,0
2.15852E-4,0.401430604,0.041925156,0.680808081,0,0
2.63387E-4,0.518385452,0.050689746,0.670707071,0,0
2.8637E-4,0.603450017,0.05487038,0.664646465,0,0
3.15939E-4,0.725406309,0.060194829,0.656565657,0,0
3.17101E-4,0.757116411,0.060402889,0.654545455,0,0
3.37037E-4,0.822844344,0.063957513,0.650505051,0,0
3.63776E-4,0.931585378,0.068683086,0.644444444,0,0
3.71776E-4,1.005320078,0.070087674,0.64040404,0,0
4.02093E-4,1.122794934,0.075372325,0.634343434,0,0
4.05148E-4,1.203665235,0.075901438,0.63030303,0,0
4.19677E-4,1.328420871,0.078410061,0.624242424,0,0
4.47335E-4,1.415626139,0.083147754,0.62020202,0,0
4.5351E-4,1.50597133,0.084198848,0.616161616,0,0
4.7795E-4,1.788172716,0.088335587,0.604040404,0,0
4.95376E-4,2.033279421,0.091262436,0.593939394,0,0
5.13379E-4,2.286117874,0.094266458,0.583838384,0,0
5.2484E-4,2.547621565,0.09616843,0.573737374,0,0
5.38287E-4,2.760632166,0.098389965,0.565656566,0,0
5.63083E-4,3.037024199,0.102457917,0.555555556,0,0
5.84072E-4,3.253535286,0.105872657,0.547474747,0,0
5.95808E-4,3.505464735,0.107770849,0.539393939,0.016666667,0
6.07675E-4,3.806852165,0.109681834,0.529292929,0.016666667,0
6.23309E-4,4.053951752,0.112187146,0.521212121,0.016666667,0
6.40098E-4,4.30607816,0.114861915,0.513131313,0.016666667,0
6.66819E-4,4.504266647,0.119085724,0.507070707,0.016666667,0
7.21445E-4,4.787576193,0.127596513,0.498989899,0.016666667,0
7.32232E-4,5.005676463,0.129257836,0.492929293,0.016666667,0
7.4314E-4,5.300965958,0.130931177,0.484848485,0.033333333,0
7.51279E-4,5.52572048,0.132175706,0.478787879,0.033333333,0
7.82962E-4,5.756908509,0.136986187,0.472727273,0.033333333,0
8.47309E-4,6.007066489,0.146593878,0.466666667,0.033333333,0
8.80349E-4,6.266002119,0.151444441,0.460606061,0.033333333,0
9.16742E-4,6.53911153,0.156723865,0.454545455,0.033333333,0
9.23948E-4,6.815476184,0.157761551,0.448484848,0.033333333,0
9.30492E-4,7.001147623,0.158701547,0.444444444,0.033333333,0
9.53113E-4,7.284649814,0.161934981,0.438383838,0.05,0
1.00878E-3,7.578983809,0.169786402,0.432323232,0.05,0
