X,Y,GadusMacrocephalus_PA1_RUN9 logistic values
-177.5,72.5,0.24010496
-175.5,71.5,0.3134812
-173.5,71.5,0.31819156
-176.5,70.5,0.34137696
-175.5,70.5,0.34912598
-171.5,70.5,0.3690201
-170.5,70.5,0.37165436
-176.5,69.5,0.37871835
-171.5,69.5,0.3975475
-168.5,69.5,0.42292947
-166.5,69.5,0.4646787
-174.5,68.5,0.42752135
-173.5,68.5,0.43146598
-172.5,68.5,0.41854578
-171.5,68.5,0.4217262
-170.5,68.5,0.42915046
-169.5,68.5,0.4384909
-167.5,68.5,0.4812202
-172.5,67.5,0.4264325
-171.5,67.5,0.43991283
-168.5,66.5,0.48736697
-167.5,66.5,0.5044773
-168.5,64.5,0.5123545
-178.5,63.5,0.5741906
-177.5,63.5,0.5566825
-179.5,62.5,0.59741336
-177.5,62.5,0.5786653
-166.5,62.5,0.6086878
-178.5,61.5,0.5907706
-172.5,61.5,0.58071244
-171.5,61.5,0.57309943
-169.5,61.5,0.582964
-167.5,61.5,0.59515035
-168.5,60.5,0.5979018
177.5,60.5,0.116407596
158.5,59.5,0.57841474
173.5,59.5,0.11257149
174.5,59.5,0.09608488
176.5,59.5,0.08314776
178.5,59.5,0.09095631
-145.5,58.5,0.19396843
167.5,58.5,0.08486861
168.5,58.5,0.11017723
169.5,58.5,0.16271701
170.5,58.5,0.42270848
174.5,58.5,0.1321757
177.5,58.5,0.12752174
178.5,58.5,0.09426646
179.5,58.5,0.09718994
-176.5,57.5,0.43516636
-175.5,57.5,0.2674321
-148.5,57.5,0.36693442
-145.5,57.5,0.2691149
-144.5,57.5,0.29024622
-143.5,57.5,0.2716718
-142.5,57.5,0.27483484
-140.5,57.5,0.3305055
-139.5,57.5,0.32503784
143.5,57.5,0.6131892
145.5,57.5,0.60480934
146.5,57.5,0.6058172
149.5,57.5,0.5855817
150.5,57.5,0.58149254
154.5,57.5,0.5335218
166.5,57.5,0.09770955
167.5,57.5,0.10921401
168.5,57.5,0.107010216
172.5,57.5,0.2683739
177.5,57.5,0.3303882
-178.5,56.5,0.3399751
-177.5,56.5,0.34683195
-175.5,56.5,0.36907518
-150.5,56.5,0.10876683
-147.5,56.5,0.26648197
-146.5,56.5,0.7325677
-142.5,56.5,0.27786973
-140.5,56.5,0.28667566
-138.5,56.5,0.34220028
-137.5,56.5,0.43707016
142.5,56.5,0.59908813
145.5,56.5,0.58635545
148.5,56.5,0.5945495
149.5,56.5,0.5914484
152.5,56.5,0.5296754
154.5,56.5,0.5993644
168.5,56.5,0.17650224
177.5,56.5,0.32636213
179.5,56.5,0.33032668
-177.5,55.5,0.34148094
-151.5,55.5,0.17591672
-150.5,55.5,0.20757931
-148.5,55.5,0.22117986
-147.5,55.5,0.23040546
-146.5,55.5,0.23601082
-144.5,55.5,0.24007851
-141.5,55.5,0.29057646
-139.5,55.5,0.3193075
-138.5,55.5,0.3593177
139.5,55.5,0.6044254
141.5,55.5,0.5727336
144.5,55.5,0.5682037
146.5,55.5,0.5913084
152.5,55.5,0.56674063
154.5,55.5,0.60218716
164.5,55.5,0.06395751
165.5,55.5,0.8474538
179.5,55.5,0.3294233
-178.5,54.5,0.3338717
-171.5,54.5,0.4187666
-156.5,54.5,0.18972811
-153.5,54.5,0.24103647
-150.5,54.5,0.7648139
-146.5,54.5,0.24315716
-141.5,54.5,0.2736727
-137.5,54.5,0.36376098
-136.5,54.5,0.3751169
-134.5,54.5,0.54198337
140.5,54.5,0.59585595
143.5,54.5,0.5656136
147.5,54.5,0.44800213
148.5,54.5,0.45209485
149.5,54.5,0.5080302
150.5,54.5,0.54242784
151.5,54.5,0.544896
152.5,54.5,0.5492698
153.5,54.5,0.5546279
154.5,54.5,0.6483119
163.5,54.5,0.036041368
170.5,54.5,0.41430703
174.5,54.5,0.31288332
175.5,54.5,0.54358596
178.5,54.5,0.72381157
179.5,54.5,0.88133377
-179.5,53.5,0.7425489
-178.5,53.5,0.32931954
-176.5,53.5,0.3361113
-174.5,53.5,0.35741904
-161.5,53.5,0.05487038
-159.5,53.5,0.10510265
-158.5,53.5,0.1475685
-156.5,53.5,0.17715104
-151.5,53.5,0.19320588
-149.5,53.5,0.21992505
-138.5,53.5,0.2947668
-137.5,53.5,0.28317663
-136.5,53.5,0.35145265
-135.5,53.5,0.30962065
145.5,53.5,0.27258968
151.5,53.5,0.51200336
153.5,53.5,0.55968237
154.5,53.5,0.6414111
163.5,53.5,0.16978641
165.5,53.5,0.30838203
166.5,53.5,0.18035473
168.5,53.5,0.22134286
169.5,53.5,0.52455664
171.5,53.5,0.42101505
177.5,53.5,0.32572424
179.5,53.5,0.5627814
-177.5,52.5,0.36992902
-162.5,52.5,0.16193499
-161.5,52.5,0.18334703
-160.5,52.5,0.19109245
-159.5,52.5,0.17502181
-158.5,52.5,0.17680584
-156.5,52.5,0.194387
-153.5,52.5,0.19450784
144.5,52.5,0.52193797
147.5,52.5,0.35584742
148.5,52.5,0.41493353
151.5,52.5,0.4680372
153.5,52.5,0.5871207
161.5,52.5,0.021640718
162.5,52.5,0.033182688
163.5,52.5,0.06899864
165.5,52.5,0.42223758
167.5,52.5,0.23965466
168.5,52.5,0.20351122
169.5,52.5,0.29194087
-170.5,51.5,0.15672387
-163.5,51.5,0.15870155
-162.5,51.5,0.17576659
-134.5,51.5,0.23809054
-130.5,51.5,0.5681787
144.5,51.5,0.5717076
145.5,51.5,0.4137638
146.5,51.5,0.36969718
147.5,51.5,0.36669928
148.5,51.5,0.37133205
151.5,51.5,0.4262885
154.5,51.5,0.627607
164.5,51.5,0.11142737
165.5,51.5,0.13698618
167.5,51.5,0.6677036
168.5,51.5,0.2889184
169.5,51.5,0.3508509
173.5,51.5,0.02802108
-179.5,50.5,0.07008767
-175.5,50.5,0.027896129
-171.5,50.5,0.12044904
-170.5,50.5,0.12759651
-167.5,50.5,0.12837036
-164.5,50.5,0.16517453
-132.5,50.5,0.22419034
-130.5,50.5,0.42540386
-129.5,50.5,0.41440734
144.5,50.5,0.55292237
146.5,50.5,0.42371365
147.5,50.5,0.3903971
149.5,50.5,0.36654368
153.5,50.5,0.47085038
159.5,50.5,0.009128453
160.5,50.5,0.09319873
161.5,50.5,0.11883411
162.5,50.5,0.09327298
163.5,50.5,0.106391564
164.5,50.5,0.09214797
165.5,50.5,0.15776154
168.5,50.5,0.2415859
169.5,50.5,0.30871063
174.5,50.5,0.21436913
175.5,50.5,0.17255704
-178.5,49.5,0.1856315
-176.5,49.5,0.19481245
-175.5,49.5,0.1599431
-170.5,49.5,0.12990268
-169.5,49.5,0.10840078
-167.5,49.5,0.10968184
-130.5,49.5,0.26726943
-129.5,49.5,0.2907183
146.5,49.5,0.4397846
148.5,49.5,0.42607602
149.5,49.5,0.442401
151.5,49.5,0.37980366
152.5,49.5,0.39344668
157.5,49.5,0.027147187
166.5,49.5,0.10146287
171.5,49.5,0.10614916
172.5,49.5,0.1303832
173.5,49.5,0.15623115
175.5,49.5,0.15808843
177.5,49.5,0.1714501
-179.5,48.5,0.09855746
-178.5,48.5,0.12949277
-177.5,48.5,0.10840399
-175.5,48.5,0.09202842
-173.5,48.5,0.111397214
-171.5,48.5,0.13093118
146.5,48.5,0.3921556
148.5,48.5,0.35263973
154.5,48.5,0.82950854
156.5,48.5,0.05507561
161.5,48.5,0.10007449
164.5,48.5,0.07590144
166.5,48.5,0.08833559
171.5,48.5,0.19679748
