X,Y,GadusMacrocephalus_PA1_RUN10 logistic values
-179.5,72.5,0.14744557
-176.5,71.5,0.19077447
-175.5,71.5,0.20561503
-174.5,71.5,0.21301283
-174.5,70.5,0.2469098
-170.5,70.5,0.27413398
-176.5,69.5,0.26724315
-175.5,69.5,0.2716965
-174.5,69.5,0.2809957
-173.5,69.5,0.2875454
-172.5,69.5,0.29185408
-170.5,69.5,0.30865788
-169.5,69.5,0.31867096
-167.5,69.5,0.35893184
-175.5,68.5,0.30541173
-170.5,68.5,0.33756676
-169.5,68.5,0.3512788
-170.5,67.5,0.36303738
-169.5,66.5,0.3939802
-179.5,63.5,0.58709615
-167.5,63.5,0.5813117
-179.5,62.5,0.5721768
-178.5,62.5,0.55260134
-167.5,62.5,0.59551513
-179.5,61.5,0.5691612
-171.5,61.5,0.5458322
-170.5,61.5,0.5589501
-169.5,61.5,0.56670934
-167.5,61.5,0.5973652
175.5,60.5,0.07258696
177.5,60.5,0.06851318
-179.5,59.5,0.07294454
157.5,59.5,0.49827513
159.5,59.5,0.53059876
178.5,59.5,0.049662888
-179.5,58.5,0.049755074
-146.5,58.5,0.10949954
-145.5,58.5,0.1400138
-144.5,58.5,0.20575479
155.5,58.5,0.47029787
157.5,58.5,0.52293193
165.5,58.5,0.030287901
167.5,58.5,0.045346268
169.5,58.5,0.1032956
171.5,58.5,0.29361567
174.5,58.5,0.07319637
175.5,58.5,0.0772473
176.5,58.5,0.043480102
178.5,58.5,0.050101724
-178.5,57.5,0.2496155
-175.5,57.5,0.19465972
-146.5,57.5,0.13755177
-144.5,57.5,0.23299843
-143.5,57.5,0.21343456
-142.5,57.5,0.21710104
-140.5,57.5,0.27744216
143.5,57.5,0.59307224
144.5,57.5,0.55867887
147.5,57.5,0.56056285
149.5,57.5,0.538113
150.5,57.5,0.52998096
154.5,57.5,0.47044122
168.5,57.5,0.0591325
172.5,57.5,0.1738083
177.5,57.5,0.244728
179.5,57.5,0.04853974
-177.5,56.5,0.26659998
-150.5,56.5,0.06080714
-146.5,56.5,0.74169123
-144.5,56.5,0.20620163
-143.5,56.5,0.21336673
-142.5,56.5,0.21631896
-141.5,56.5,0.22777255
-140.5,56.5,0.22694524
-139.5,56.5,0.26856115
-138.5,56.5,0.29070926
142.5,56.5,0.5878841
148.5,56.5,0.54824024
149.5,56.5,0.54263836
152.5,56.5,0.47054917
168.5,56.5,0.10159709
170.5,56.5,0.72021407
172.5,56.5,0.25920558
174.5,56.5,0.24228245
177.5,56.5,0.24076982
178.5,56.5,0.24338324
-177.5,55.5,0.26023492
-176.5,55.5,0.26596358
-174.5,55.5,0.3072801
-172.5,55.5,0.3421193
-171.5,55.5,0.37599835
-150.5,55.5,0.14390847
-149.5,55.5,0.19189982
-148.5,55.5,0.15627035
-146.5,55.5,0.17038378
-144.5,55.5,0.17476496
-140.5,55.5,0.24506809
-137.5,55.5,0.36271113
-136.5,55.5,0.3627216
140.5,55.5,0.6066427
141.5,55.5,0.5780378
144.5,55.5,0.54563195
146.5,55.5,0.55457294
147.5,55.5,0.4878088
148.5,55.5,0.49558833
150.5,55.5,0.5114279
152.5,55.5,0.51541096
154.5,55.5,0.5587963
164.5,55.5,0.03205351
165.5,55.5,0.8366946
170.5,55.5,0.42600375
172.5,55.5,0.24159183
173.5,55.5,0.23737767
175.5,55.5,0.23856293
176.5,55.5,0.24044463
177.5,55.5,0.24172103
178.5,55.5,0.23817314
179.5,55.5,0.2452746
-179.5,54.5,0.24730837
-178.5,54.5,0.25176787
-171.5,54.5,0.3557943
