X,Y,GadusMacrocephalus_PA1_RUN7 logistic values
-179.5,72.5,0.05633073
-177.5,72.5,0.05542683
-176.5,71.5,0.08414105
-174.5,71.5,0.103939645
-173.5,71.5,0.10476979
-176.5,70.5,0.11933926
-175.5,70.5,0.12746277
-178.5,69.5,0.17245708
-175.5,69.5,0.15790083
-174.5,69.5,0.16779223
-171.5,69.5,0.18840024
-169.5,69.5,0.2116313
-167.5,69.5,0.26208228
-174.5,68.5,0.20681117
-173.5,68.5,0.21671596
-171.5,68.5,0.22016068
-169.5,68.5,0.25275832
-168.5,68.5,0.2856916
-167.5,68.5,0.33105642
-172.5,67.5,0.22536029
-171.5,67.5,0.24739294
-169.5,67.5,0.28775385
-169.5,66.5,0.31171992
-169.5,65.5,0.26249707
-168.5,65.5,0.29378188
-168.5,64.5,0.3766178
-179.5,63.5,0.6371158
-178.5,63.5,0.54444283
-177.5,63.5,0.49907383
-167.5,63.5,0.6135109
-178.5,62.5,0.58768564
-176.5,62.5,0.5423681
-174.5,62.5,0.5244317
-173.5,62.5,0.52918214
-167.5,62.5,0.6388357
-179.5,61.5,0.6271362
-178.5,61.5,0.6059601
-173.5,61.5,0.5750684
-172.5,61.5,0.5704663
-171.5,61.5,0.56491095
-170.5,61.5,0.582469
-168.5,61.5,0.6381911
-167.5,61.5,0.642914
-170.5,60.5,0.6236341
-168.5,60.5,0.6354038
-167.5,60.5,0.64179
175.5,60.5,0.10553529
176.5,60.5,0.08900885
159.5,59.5,0.5477413
175.5,59.5,0.07035918
178.5,59.5,0.07666607
-179.5,58.5,0.08156527
-144.5,58.5,0.2561695
155.5,58.5,0.4672373
157.5,58.5,0.53140545
167.5,58.5,0.07069133
168.5,58.5,0.09311712
170.5,58.5,0.41168025
171.5,58.5,0.35560864
172.5,58.5,0.08517543
173.5,58.5,0.0965135
174.5,58.5,0.09507461
177.5,58.5,0.092929065
-178.5,57.5,0.20062256
-177.5,57.5,0.23761638
-175.5,57.5,0.2436963
-147.5,57.5,0.11447032
-145.5,57.5,0.25285336
-140.5,57.5,0.32808506
149.5,57.5,0.5957666
165.5,57.5,0.08662757
171.5,57.5,0.47188634
172.5,57.5,0.15902086
173.5,57.5,0.19551586
174.5,57.5,0.19687518
177.5,57.5,0.18859702
179.5,57.5,0.076828025
-178.5,56.5,0.2104298
-177.5,56.5,0.21888906
-175.5,56.5,0.24452046
-150.5,56.5,0.08647339
-146.5,56.5,0.7379044
-145.5,56.5,0.22097847
