Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.0408E-12,0.000000001,0,0.872727273,0,0
2.80193E-12,0.000000003,0,0.852525253,0,0
1.84872E-11,0.00000001,0.000000003,0.836363636,0,0
3.45681E-11,0.000000026,0.000000006,0.824242424,0,0
2.64974E-10,0.000000113,0.000000045,0.808080808,0,0
1.76948E-9,0.000000413,0.000000301,0.8,0,0
2.51913E-9,0.000001037,0.000000428,0.793939394,0,0
4.67514E-9,0.000002516,0.000000794,0.785858586,0,0
2.86691E-8,0.000010205,0.000004869,0.775757576,0,0
6.76827E-8,0.000030068,0.000011495,0.767676768,0,0
2.7882E-7,0.00005795,0.000047352,0.765656566,0,0
5.24749E-7,0.000110425,0.000089115,0.763636364,0,0
1.17775E-6,0.000316415,0.000199987,0.75959596,0,0
1.35015E-6,0.000575884,0.000229256,0.755555556,0,0
1.9363E-6,0.001115472,0.000328751,0.749494949,0,0
7.6391E-6,0.003094629,0.001295734,0.739393939,0,0
8.94234E-6,0.005631697,0.001516453,0.733333333,0,0
1.22788E-5,0.01000042,0.002081078,0.725252525,0,0
3.17338E-5,0.027187505,0.005360741,0.709090909,0,0
4.33277E-5,0.051095097,0.007304973,0.696969697,0,0
8.44661E-5,0.107450181,0.014142738,0.678787879,0,0
1.57014E-4,0.212205765,0.025974395,0.662626263,0,0
2.30367E-4,0.313056012,0.03765212,0.652525253,0,0
2.61716E-4,0.411677188,0.042557823,0.644444444,0,0
2.78933E-4,0.521380311,0.045230839,0.636363636,0,0
2.91862E-4,0.608768705,0.047228397,0.63030303,0,0
2.98287E-4,0.726739552,0.048217959,0.622222222,0,0
3.04581E-4,0.757197606,0.049185252,0.62020202,0,0
3.14679E-4,0.819673773,0.050733301,0.616161616,0,0
3.27014E-4,0.915893569,0.052617294,0.61010101,0,0
3.3837E-4,1.016910994,0.054345154,0.604040404,0,0
3.44383E-4,1.119448655,0.055257534,0.597979798,0,0
3.47063E-4,1.223218981,0.055663708,0.591919192,0,0
3.50849E-4,1.328024836,0.056236755,0.585858586,0,0
3.5825E-4,1.434550843,0.057354923,0.57979798,0,0
3.79065E-4,1.509903898,0.060485832,0.575757576,0,0
4.21617E-4,1.791550482,0.066821939,0.561616162,0,0
4.52554E-4,2.015405575,0.071375258,0.551515152,0,0
4.88886E-4,2.251734256,0.076666069,0.541414141,0.016666667,0
5.02485E-4,2.500740085,0.078631009,0.531313131,0.016666667,0
5.22902E-4,2.756123004,0.081565269,0.521212121,0.016666667,0
5.48201E-4,3.02470595,0.085175433,0.511111111,0.016666667,0
5.58433E-4,3.302498348,0.08662757,0.501010101,0.016666667,0
5.86521E-4,3.532521829,0.090589936,0.492929293,0.016666667,0
5.99318E-4,3.770167811,0.092383905,0.484848485,0.016666667,0
6.03217E-4,4.010873056,0.092929067,0.476767677,0.016666667,0
6.28969E-4,4.256947114,0.096513502,0.468686869,0.016666667,0
6.49821E-4,4.514284881,0.099395122,0.460606061,0.016666667,0
6.82979E-4,4.781988674,0.103939648,0.452525253,0.016666667,0
7.02978E-4,5.059019077,0.106658579,0.444444444,0.016666667,0
7.19248E-4,5.273954973,0.108858414,0.438383838,0.016666667,0
7.6112E-4,5.570378242,0.114470315,0.43030303,0.016666667,0
8.07428E-4,5.811108229,0.120595038,0.424242424,0.016666667,0
8.33379E-4,6.05912374,0.123990418,0.418181818,0.016666667,0
8.58775E-4,6.316417041,0.127287986,0.412121212,0.016666667,0
8.83511E-4,6.576800292,0.130475916,0.406060606,0.033333333,0
9.12343E-4,6.758612243,0.134162605,0.402020202,0.033333333,0
9.42941E-4,7.040546706,0.138040931,0.395959596,0.033333333,0
