Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.09001E-12,0.000000001,0,0.783838384,0,0
1.02412E-11,0.000000003,0.000000001,0.777777778,0,0
5.94495E-11,0.000000014,0.000000006,0.771717172,0,0
1.32255E-10,0.000000027,0.000000014,0.76969697,0,0
4.13119E-10,0.000000137,0.000000044,0.761616162,0,0
1.5646E-9,0.000000399,0.000000168,0.755555556,0,0
5.79665E-9,0.000001309,0.000000621,0.751515152,0,0
8.16905E-9,0.000002776,0.000000876,0.747474747,0,0
5.61942E-8,0.000012931,0.000006024,0.739393939,0,0
1.01421E-7,0.000030475,0.000010873,0.735353535,0,0
1.19538E-7,0.000052728,0.000012815,0.731313131,0,0
1.82463E-7,0.00010863,0.000019561,0.723232323,0,0
5.21623E-7,0.000250506,0.000055917,0.715151515,0,0
9.06447E-7,0.000563443,0.000097166,0.707070707,0,0
1.65722E-6,0.001065957,0.000177631,0.698989899,0,0
3.07016E-6,0.002801178,0.000329029,0.684848485,0,0
5.53561E-6,0.005239725,0.000593094,0.674747475,0,0
1.11916E-5,0.010246417,0.001198356,0.662626263,0,0
2.12671E-5,0.02515225,0.002274754,0.646464646,0,0
3.90846E-5,0.050713861,0.004172587,0.63030303,0,0
6.07508E-5,0.102563517,0.006470652,0.61010101,0,0
8.27032E-5,0.204594913,0.00878829,0.581818182,0,0
9.21006E-5,0.300487377,0.009777118,0.55959596,0,0
1.05595E-4,0.407412145,0.011193566,0.537373737,0,0
1.214E-4,0.509381954,0.012847464,0.519191919,0,0
1.3972E-4,0.600304352,0.014757656,0.505050505,0.016666667,0
1.50438E-4,0.702176071,0.015871721,0.490909091,0.016666667,0
1.60686E-4,0.764993533,0.016934636,0.482828283,0.016666667,0
1.64223E-4,0.813903367,0.017300957,0.476767677,0.016666667,0
2.00716E-4,0.907883222,0.02106448,0.466666667,0.016666667,0
2.07182E-4,1.010125832,0.021728346,0.456565657,0.016666667,0
2.30078E-4,1.11898776,0.02407181,0.446464646,0.016666667,0
2.67033E-4,1.219326558,0.027830584,0.438383838,0.016666667,0
2.80351E-4,1.302574002,0.029178141,0.432323232,0.016666667,0
3.08348E-4,1.421633862,0.031998757,0.424242424,0.016666667,0
3.16692E-4,1.516361576,0.032836234,0.418181818,0.016666667,0
3.51518E-4,1.7545328,0.036315938,0.404040404,0.016666667,0
3.97848E-4,2.014495029,0.04090659,0.38989899,0.016666667,0
4.67609E-4,2.256460021,0.047737014,0.377777778,0.033333333,0
5.429E-4,2.538941546,0.05500056,0.367676768,0.05,0
6.09164E-4,2.770437245,0.061302142,0.35959596,0.05,0
6.56573E-4,3.026864795,0.065759344,0.351515152,0.05,0
7.50318E-4,3.320932775,0.074449364,0.343434343,0.05,0
7.94912E-4,3.553519019,0.078526692,0.337373737,0.05,0
8.54992E-4,3.801836295,0.083963504,0.331313131,0.05,0
8.87889E-4,4.064144065,0.086913336,0.325252525,0.05,0
9.25573E-4,4.283110346,0.090269122,0.319191919,0.05,0
9.50272E-4,4.529362404,0.092455246,0.315151515,0.066666667,0
1.04669E-3,4.839445721,0.100889964,0.309090909,0.066666667,0
1.06261E-3,5.050598199,0.102266988,0.305050505,0.066666667,0
1.12854E-3,5.275514842,0.107927971,0.301010101,0.066666667,0
1.14087E-3,5.502542856,0.108978115,0.296969697,0.066666667,0
1.18581E-3,5.853160714,0.112787234,0.290909091,0.066666667,0
1.19524E-3,6.091336341,0.113582249,0.286868687,0.066666667,0
1.2061E-3,6.332309203,0.114495919,0.282828283,0.066666667,0
1.21129E-3,6.574331055,0.114931794,0.278787879,0.066666667,0
1.23099E-3,6.819984594,0.116583432,0.274747475,0.083333333,0
1.24845E-3,7.069499719,0.118041434,0.270707071,0.083333333,0
1.28384E-3,7.323207728,0.120982876,0.266666667,0.083333333,0
1.30748E-3,7.583303918,0.122936968,0.262626263,0.083333333,0
1.36804E-3,7.852419819,0.127902596,0.258585859,0.083333333,0
1.38281E-3,8.128584921,0.129105091,0.254545455,0.083333333,0
1.38994E-3,8.267578995,0.129684629,0.252525253,0.083333333,0
1.39713E-3,8.546747222,0.130267755,0.248484848,0.083333333,0
1.41708E-3,8.828581448,0.131883075,0.244444444,0.083333333,0
1.43252E-3,9.114629751,0.133128518,0.24040404,0.083333333,0
1.44338E-3,9.258968078,0.13400276,0.238383838,0.083333333,0
1.47106E-3,9.552549489,0.136222475,0.234343434,0.083333333,0
1.50999E-3,9.853813344,0.139324563,0.23030303,0.083333333,0
1.53033E-3,10.006846281,0.140937131,0.228282828,0.083333333,0
1.57288E-3,10.317505197,0.14429058,0.224242424,0.083333333,0
1.60353E-3,10.637152193,0.146690014,0.22020202,0.083333333,0
1.65408E-3,10.802560407,0.150617651,0.218181818,0.083333333,0
1.68358E-3,11.137745567,0.152892627,0.214141414,0.083333333,0
1.68761E-3,11.306506731,0.153203036,0.212121212,0.083333333,0
1.73331E-3,11.652665846,0.156701142,0.208080808,0.083333333,0
1.7741E-3,11.83007549,0.159799596,0.206060606,0.083333333,0
1.88324E-3,12.018399976,0.167979532,0.204040404,0.1,0
1.96555E-3,12.411006703,0.174042968,0.2,0.1,0
1.96627E-3,12.607633553,0.174095723,0.197979798,0.1,0
1.97377E-3,12.805010209,0.174643667,0.195959596,0.1,0
2.00808E-3,13.00581781,0.177141686,0.193939394,0.1,0
2.07991E-3,13.419861178,0.18232343,0.18989899,0.1,0
2.09388E-3,13.629248836,0.183323005,0.187878788,0.1,0
2.13731E-3,13.842979809,0.186416783,0.185858586,0.116666667,0
2.14042E-3,14.057021356,0.18663711,0.183838384,0.116666667,0
2.17339E-3,14.274360081,0.188968848,0.181818182,0.116666667,0
2.21758E-3,14.715465946,0.192073015,0.177777778,0.116666667,0
2.31533E-3,14.946998781,0.198856015,0.175757576,0.116666667,0
2.34203E-3,15.181201852,0.200689138,0.173737374,0.116666667,0
2.3881E-3,15.420011524,0.203831936,0.171717172,0.116666667,0
2.47446E-3,15.667457315,0.209657718,0.16969697,0.116666667,0
2.47844E-3,15.915300903,0.209924011,0.167676768,0.116666667,0
2.50798E-3,16.166098857,0.211896126,0.165656566,0.116666667,0
2.52097E-3,16.418195968,0.212760234,0.163636364,0.116666667,0
2.58323E-3,16.676518877,0.216875033,0.161616162,0.116666667,0
2.64124E-3,16.940643136,0.220670775,0.15959596,0.116666667,0
2.74384E-3,17.215026913,0.227294125,0.157575758,0.116666667,0
2.74935E-3,17.489961507,0.227646539,0.155555556,0.116666667,0
2.76703E-3,17.766664978,0.2287761,0.153535354,0.116666667,0
2.85464E-3,18.052128968,0.234322,0.151515152,0.116666667,0
2.94656E-3,18.307373634,0.24005623,0.149494949,0.116666667,0
3.00466E-3,18.648724211,0.243636352,0.147474747,0.133333333,0
3.01642E-3,18.950366549,0.244356891,0.145454545,0.133333333,0
3.0612E-3,19.256486233,0.247087738,0.143434343,0.133333333,0
3.10067E-3,19.551745077,0.249478896,0.141414141,0.133333333,0
3.12651E-3,19.87940458,0.251036052,0.139393939,0.15,0
3.186E-3,20.198004829,0.254596795,0.137373737,0.15,0
3.26508E-3,20.524512604,0.259277411,0.135353535,0.15,0
3.33179E-3,20.857691258,0.263180562,0.133333333,0.15,0
3.80105E-3,21.237796547,0.289516573,0.131313131,0.15,0
3.8333E-3,21.621126901,0.291257564,0.129292929,0.15,0
3.98412E-3,22.019539199,0.299287301,0.127272727,0.15,0
4.03597E-3,22.423136002,0.302005709,0.125252525,0.15,0
4.05261E-3,22.828397255,0.302873969,0.123232323,0.15,0
4.11681E-3,23.240078201,0.306202662,0.121212121,0.15,0
4.59393E-3,23.699471663,0.329980267,0.119191919,0.15,0
4.6271E-3,24.162181617,0.331572609,0.117171717,0.15,0
4.70868E-3,24.633049362,0.335457378,0.115151515,0.15,0
4.87597E-3,25.120646271,0.343284283,0.113131313,0.15,0
4.97041E-3,25.617687478,0.347622007,0.111111111,0.15,0
5.19806E-3,26.137493394,0.357845899,0.109090909,0.15,0
5.21668E-3,26.659160917,0.358667812,0.107070707,0.15,0
5.80977E-3,27.240137769,0.383795164,0.105050505,0.15,0
5.99904E-3,27.840041532,0.391404541,0.103030303,0.15,0
6.00086E-3,28.440127171,0.391476751,0.101010101,0.15,0
6.07152E-3,29.047279275,0.394269132,0.098989899,0.15,0
6.65776E-3,29.713055566,0.41648307,0.096969697,0.166666667,0
7.02707E-3,30.415762084,0.429659128,0.094949495,0.166666667,0
7.32833E-3,31.148594952,0.439974954,0.092929293,0.166666667,0
7.48119E-3,31.896713785,0.445067746,0.090909091,0.166666667,0
7.94468E-3,32.691182022,0.459958838,0.088888889,0.166666667,0
8.33634E-3,33.524816053,0.471932818,0.086868687,0.166666667,0
8.37295E-3,34.362111192,0.473025031,0.084848485,0.166666667,0
8.52802E-3,35.214913088,0.477601478,0.082828283,0.183333333,0
9.11097E-3,36.126009601,0.494117138,0.080808081,0.183333333,0
9.67159E-3,37.093168353,0.509044335,0.078787879,0.183333333,0
9.70949E-3,38.064117817,0.510021921,0.076767677,0.183333333,0
9.75396E-3,39.039513444,0.511163592,0.074747475,0.183333333,0
9.79554E-3,40.019067421,0.512226556,0.072727273,0.183333333,0
1.01267E-2,41.031737484,0.520529547,0.070707071,0.183333333,0
1.01947E-2,42.051203521,0.522198624,0.068686869,0.183333333,0
1.02622E-2,43.077427645,0.523846913,0.066666667,0.183333333,0
1.05166E-2,44.129085516,0.529949543,0.064646465,0.183333333,0
1.05516E-2,44.280368388,0.530778605,0.062626263,0.183333333,0
1.07661E-2,45.205696116,0.535786624,0.062626263,0.2,0
1.08228E-2,45.376607287,0.53709317,0.060606061,0.2,0
1.1004E-2,45.922742229,0.541219288,0.060606061,0.216666667,0
1.11356E-2,46.319259071,0.544169229,0.060606061,0.233333333,0
1.11979E-2,47.439052376,0.545552843,0.058585859,0.233333333,0
1.12025E-2,48.559306495,0.545654845,0.056565657,0.233333333,0
1.13868E-2,49.697988437,0.549696699,0.054545455,0.233333333,0
1.14177E-2,50.839762402,0.550367851,0.052525253,0.233333333,0
1.14402E-2,51.983780003,0.550853602,0.050505051,0.233333333,0
1.21977E-2,53.203548777,0.566659603,0.048484848,0.233333333,0
1.27646E-2,54.48000983,0.57777968,0.046464646,0.233333333,0
1.27999E-2,55.759995253,0.578452166,0.044444444,0.233333333,0
1.28606E-2,57.046058886,0.579606931,0.042424242,0.233333333,0
1.31203E-2,58.358086791,0.584469327,0.04040404,0.233333333,0
1.32383E-2,59.681918419,0.586642845,0.038383838,0.233333333,0
1.3626E-2,61.044519857,0.59362456,0.036363636,0.233333333,0
1.3668E-2,62.411322717,0.59436702,0.034343434,0.233333333,0
1.3796E-2,63.790921693,0.596611678,0.032323232,0.233333333,0
1.43009E-2,64.593782519,0.605230763,0.03030303,0.233333333,0
1.47217E-2,65.2630966,0.612139568,0.03030303,0.266666667,0
1.47725E-2,66.740346906,0.612956379,0.028282828,0.266666667,0
1.53362E-2,68.273962213,0.62180152,0.026262626,0.266666667,0
1.55944E-2,69.833403643,0.625720657,0.024242424,0.266666667,0
1.56787E-2,70.021393362,0.626981592,0.022222222,0.266666667,0
1.57879E-2,70.265223433,0.628604473,0.022222222,0.283333333,0
1.60234E-2,70.790761005,0.632054768,0.022222222,0.3,0
1.62298E-2,71.251317536,0.635026163,0.022222222,0.316666667,0
1.64421E-2,73.11021679,0.638031962,0.02020202,0.35,0
1.6595E-2,74.769719824,0.640167702,0.018181818,0.35,0
1.70493E-2,75.668828481,0.646365107,0.016161616,0.366666667,0
1.74782E-2,76.517535426,0.652022374,0.016161616,0.383333333,0
1.84963E-2,78.367165132,0.664755541,0.014141414,0.383333333,0
1.95069E-2,80.168667455,0.676505369,0.012121212,0.4,0
1.95956E-2,80.326723415,0.677497067,0.012121212,0.416666667,0
2.01992E-2,80.768780534,0.684089914,0.01010101,0.433333333,0
2.05808E-2,81.048265075,0.688120842,0.01010101,0.45,0
2.17171E-2,81.88045041,0.699536364,0.01010101,0.466666667,0
2.23165E-2,82.319358106,0.705226864,0.01010101,0.483333333,0
2.26269E-2,82.546716623,0.708090676,0.01010101,0.5,0
2.31263E-2,83.809958189,0.712582708,0.008080808,0.516666667,0
2.35318E-2,84.949342947,0.716128855,0.008080808,0.533333333,0
2.61015E-2,87.266578855,0.736718281,0.006060606,0.533333333,0
2.64668E-2,87.596025569,0.7394055,0.006060606,0.566666667,0
2.82949E-2,88.074637571,0.75206773,0.004040404,0.566666667,0
3.12244E-2,88.841607461,0.769978264,0.004040404,0.583333333,0
3.33067E-2,89.386787191,0.78121289,0.004040404,0.6,0
3.3947E-2,89.554413171,0.784449867,0.004040404,0.616666667,0
3.59986E-2,90.09154212,0.794206218,0.004040404,0.65,0
3.67005E-2,90.275320561,0.797344653,0.004040404,0.683333333,0
4.17189E-2,91.589173175,0.817267393,0.004040404,0.75,0
4.28235E-2,91.87837494,0.821137863,0.004040404,0.766666667,0
6.43215E-2,96.426068794,0.873347045,0.002020202,0.783333333,0
7.91496E-2,99.562818442,0.89457307,0.002020202,0.8,0
8.12163E-2,100,0.896979423,0.002020202,0.816666667,0
9.36374E-2,100,0.909407198,0,0.816666667,0
9.59377E-2,100,0.911386945,0,0.833333333,0
1.17671E-1,100,0.926551441,0,0.85,0
1.29745E-1,100,0.932928107,0,0.866666667,0
1.39329E-1,100,0.937252256,0,0.883333333,0
2.30837E-1,100,0.961160463,0,0.9,0
3.84592E-1,100,0.976320281,0,0.916666667,0
4.81079E-1,100,0.980979239,0,0.933333333,0
5.14825E-1,100,0.982203849,0,0.95,0
6.02938E-1,100,0.984764937,0,0.966666667,0
6.68545E-1,100,0.986239449,0,0.983333333,0
