Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.41081E-12,0.000000001,0,0.898989899,0,0
3.29358E-12,0.000000003,0.000000001,0.884848485,0,0
1.60145E-11,0.000000011,0.000000003,0.864646465,0,0
3.38938E-11,0.000000025,0.000000006,0.854545455,0,0
2.1626E-10,0.000000109,0.000000039,0.844444444,0,0
1.44526E-9,0.000000331,0.000000263,0.838383838,0,0
3.24735E-9,0.000001031,0.000000591,0.832323232,0,0
1.71444E-8,0.000002746,0.000003119,0.83030303,0,0
4.17735E-8,0.000011691,0.0000076,0.824242424,0,0
5.18665E-8,0.000026576,0.000009437,0.818181818,0,0
2.12438E-7,0.000060316,0.00003865,0.814141414,0,0
6.98154E-7,0.000130132,0.000127008,0.812121212,0,0
1.23473E-6,0.000356485,0.000224599,0.808080808,0,0
1.2756E-6,0.000611188,0.000232032,0.804040404,0,0
1.80133E-6,0.001099035,0.00032763,0.797979798,0,0
3.74802E-6,0.00278709,0.000681459,0.785858586,0,0
6.32379E-6,0.005611348,0.001149242,0.775757576,0,0
1.08607E-5,0.010075526,0.00197212,0.763636364,0,0
2.4215E-5,0.026481662,0.004386404,0.743434343,0,0
5.22074E-5,0.053721244,0.00940935,0.729292929,0,0
8.27821E-5,0.100751151,0.014838064,0.715151515,0,0
1.44386E-4,0.203596267,0.025597509,0.696969697,0,0
1.83175E-4,0.318253016,0.032252356,0.682828283,0,0
2.19657E-4,0.400660433,0.038429063,0.674747475,0,0
2.33643E-4,0.515233294,0.040776126,0.664646465,0,0
2.54167E-4,0.613219626,0.044199817,0.656565657,0,0
2.70032E-4,0.719747527,0.046829417,0.648484848,0,0
2.80452E-4,0.774823114,0.048548819,0.644444444,0,0
2.80872E-4,0.80291031,0.048617965,0.642424242,0,0
3.02026E-4,0.920943015,0.052088896,0.634343434,0,0
3.14712E-4,1.014072538,0.054158325,0.628282828,0,0
3.24535E-4,1.110307077,0.055754522,0.622222222,0,0
3.31146E-4,1.208932813,0.056825723,0.616161616,0,0
3.38952E-4,1.309342821,0.058087515,0.61010101,0,0
3.56677E-4,1.414014158,0.060939966,0.604040404,0,0
3.80311E-4,1.525012211,0.064716582,0.597979798,0,0
4.0965E-4,1.763778175,0.069362773,0.585858586,0,0
4.29306E-4,2.015172474,0.072449902,0.573737374,0,0
4.52983E-4,2.283520126,0.076141419,0.561616162,0.016666667,0
4.64176E-4,2.512507824,0.077876234,0.551515152,0.016666667,0
4.92725E-4,2.751403418,0.082271965,0.541414141,0.016666667,0
5.26793E-4,3.006563293,0.087462991,0.531313131,0.016666667,0
5.44696E-4,3.276884348,0.090167393,0.521212121,0.016666667,0
5.50738E-4,3.550694693,0.091076456,0.511111111,0.016666667,0
5.90172E-4,3.780453673,0.096965393,0.503030303,0.033333333,0
6.08805E-4,4.022261847,0.099721482,0.494949495,0.033333333,0
6.31821E-4,4.269536772,0.103102762,0.486868687,0.033333333,0
6.45148E-4,4.526210929,0.10504901,0.478787879,0.033333333,0
6.61755E-4,4.787877617,0.107462589,0.470707071,0.033333333,0
6.77258E-4,5.055773332,0.109703854,0.462626263,0.033333333,0
6.95551E-4,5.262802781,0.112334126,0.456565657,0.033333333,0
7.47929E-4,5.556365652,0.119780194,0.448484848,0.033333333,0
7.63157E-4,5.784023324,0.121921549,0.442424242,0.033333333,0
7.74367E-4,6.015366669,0.123491346,0.436363636,0.033333333,0
8.2857E-4,6.25712496,0.131002864,0.43030303,0.033333333,0
8.45129E-4,6.509883668,0.133272108,0.424242424,0.033333333,0
8.58011E-4,6.766395509,0.135029231,0.418181818,0.033333333,0
