Spp,Long,Lat
GadusMacrocephalus,-171.5,60.5
GadusMacrocephalus,-172.5,51.5
GadusMacrocephalus,-172.5,52.5
GadusMacrocephalus,-172.5,53.5
GadusMacrocephalus,-172.5,54.5
GadusMacrocephalus,-172.5,56.5
GadusMacrocephalus,-172.5,57.5
GadusMacrocephalus,-172.5,58.5
GadusMacrocephalus,-172.5,59.5
GadusMacrocephalus,-172.5,60.5
GadusMacrocephalus,-173.5,51.5
GadusMacrocephalus,-173.5,52.5
GadusMacrocephalus,-173.5,56.5
GadusMacrocephalus,-173.5,57.5
GadusMacrocephalus,-173.5,58.5
GadusMacrocephalus,-173.5,59.5
GadusMacrocephalus,-173.5,60.5
GadusMacrocephalus,-174.5,51.5
GadusMacrocephalus,-174.5,52.5
GadusMacrocephalus,-174.5,57.5
GadusMacrocephalus,-174.5,58.5
GadusMacrocephalus,-174.5,59.5
GadusMacrocephalus,-174.5,60.5
GadusMacrocephalus,-175.5,51.5
GadusMacrocephalus,-175.5,52.5
GadusMacrocephalus,-175.5,58.5
GadusMacrocephalus,-175.5,59.5
GadusMacrocephalus,-175.5,60.5
GadusMacrocephalus,-175.5,61.5
GadusMacrocephalus,-176.5,51.5
GadusMacrocephalus,-176.5,52.5
GadusMacrocephalus,-176.5,58.5
GadusMacrocephalus,-176.5,59.5
GadusMacrocephalus,-176.5,60.5
GadusMacrocephalus,-176.5,61.5
GadusMacrocephalus,-177.5,51.5
GadusMacrocephalus,-177.5,58.5
GadusMacrocephalus,-177.5,59.5
GadusMacrocephalus,-177.5,60.5
GadusMacrocephalus,-177.5,61.5
GadusMacrocephalus,-178.5,51.5
GadusMacrocephalus,-178.5,58.5
GadusMacrocephalus,-178.5,59.5
GadusMacrocephalus,-178.5,60.5
GadusMacrocephalus,-179.5,51.5
GadusMacrocephalus,-179.5,52.5
GadusMacrocephalus,-179.5,60.5
GadusMacrocephalus,129.5,36.5
GadusMacrocephalus,131.5,42.5
GadusMacrocephalus,140.5,41.5
GadusMacrocephalus,141.5,37.5
GadusMacrocephalus,141.5,38.5
GadusMacrocephalus,141.5,47.5
GadusMacrocephalus,142.5,38.5
GadusMacrocephalus,142.5,42.5
GadusMacrocephalus,142.5,46.5
GadusMacrocephalus,143.5,46.5
GadusMacrocephalus,151.5,58.5
GadusMacrocephalus,163.5,61.5
GadusMacrocephalus,172.5,52.5
GadusMacrocephalus,172.5,53.5
GadusMacrocephalus,173.5,52.5
GadusMacrocephalus,173.5,53.5
GadusMacrocephalus,174.5,51.5
GadusMacrocephalus,174.5,52.5
GadusMacrocephalus,175.5,51.5
GadusMacrocephalus,175.5,52.5
GadusMacrocephalus,176.5,51.5
GadusMacrocephalus,176.5,52.5
GadusMacrocephalus,177.5,51.5
GadusMacrocephalus,177.5,52.5
GadusMacrocephalus,178.5,51.5
GadusMacrocephalus,179.5,51.5
GadusMacrocephalus,179.5,52.5
