X,Y,GadusMacrocephalus_PA1_RUN6 logistic values
-178.5,72.5,0.06776422
-177.5,72.5,0.0699107
-175.5,71.5,0.11815443
-174.5,71.5,0.12759891
-174.5,70.5,0.1612867
-172.5,70.5,0.17711309
-170.5,70.5,0.19300105
-178.5,69.5,0.20493658
-177.5,69.5,0.20443101
-175.5,69.5,0.18640587
-170.5,69.5,0.23655589
-167.5,69.5,0.30548802
-176.5,68.5,0.19733691
-174.5,68.5,0.23767498
-173.5,68.5,0.24933846
-172.5,68.5,0.24496359
-169.5,68.5,0.29431474
-168.5,68.5,0.32968685
-167.5,68.5,0.3758525
-172.5,67.5,0.26297376
-169.5,67.5,0.33067635
-168.5,67.5,0.36318618
-168.5,66.5,0.39623535
-168.5,65.5,0.3329018
-169.5,64.5,0.3478102
-168.5,64.5,0.41595757
-179.5,63.5,0.6608862
-178.5,63.5,0.5732758
-178.5,62.5,0.6081351
-176.5,62.5,0.56794906
-175.5,62.5,0.5631333
-173.5,62.5,0.56143296
-172.5,62.5,0.54625946
-167.5,62.5,0.6747792
-179.5,61.5,0.63531816
-174.5,61.5,0.6067189
-170.5,61.5,0.6156689
-166.5,61.5,0.72469753
-169.5,60.5,0.6544792
175.5,60.5,0.15930517
-179.5,59.5,0.1634474
158.5,59.5,0.5630942
173.5,59.5,0.14546476
175.5,59.5,0.11419851
176.5,59.5,0.112430215
177.5,59.5,0.11800773
179.5,59.5,0.15398718
-179.5,58.5,0.12748086
-145.5,58.5,0.24590571
156.5,58.5,0.5169707
157.5,58.5,0.54803276
165.5,58.5,0.09000495
167.5,58.5,0.11544015
168.5,58.5,0.14289825
171.5,58.5,0.40050125
176.5,58.5,0.1123344
-179.5,57.5,0.3429011
-178.5,57.5,0.33841145
-177.5,57.5,0.3805131
-176.5,57.5,0.44295865
-146.5,57.5,0.24450897
-144.5,57.5,0.33339748
-143.5,57.5,0.31122866
-140.5,57.5,0.34963614
143.5,57.5,0.6782284
148.5,57.5,0.621698
149.5,57.5,0.6020353
154.5,57.5,0.5244319
167.5,57.5,0.143124
169.5,57.5,0.36441648
170.5,57.5,0.35635856
172.5,57.5,0.27498627
176.5,57.5,0.24559167
179.5,57.5,0.1242886
-178.5,56.5,0.3463153
-175.5,56.5,0.38545552
-150.5,56.5,0.15146375
-146.5,56.5,0.7380673
-144.5,56.5,0.30714178
-143.5,56.5,0.3093593
-142.5,56.5,0.30695978
-140.5,56.5,0.3050443
-139.5,56.5,0.33586833
142.5,56.5,0.6745107
144.5,56.5,0.6229683
145.5,56.5,0.6314701
146.5,56.5,0.6089026
147.5,56.5,0.59480095
148.5,56.5,0.61095136
153.5,56.5,0.4578515
154.5,56.5,0.6087801
164.5,56.5,0.11823232
167.5,56.5,0.11710444
168.5,56.5,0.20093888
173.5,56.5,0.32926413
174.5,56.5,0.324426
176.5,56.5,0.24423863
178.5,56.5,0.32699603
-177.5,55.5,0.35085788
-176.5,55.5,0.3580888
-175.5,55.5,0.36983728
-173.5,55.5,0.4207809
-172.5,55.5,0.43322378
-171.5,55.5,0.46476716
-151.5,55.5,0.2250769
-146.5,55.5,0.27774066
-145.5,55.5,0.29001993
-144.5,55.5,0.2754495
-143.5,55.5,0.29210067
-142.5,55.5,0.2843794
-141.5,55.5,0.30967435
-140.5,55.5,0.31925824
-138.5,55.5,0.35940722
-137.5,55.5,0.4008478
139.5,55.5,0.71060765
140.5,55.5,0.7101284
144.5,55.5,0.6273603
146.5,55.5,0.6236338
150.5,55.5,0.58278126
151.5,55.5,0.58639127
153.5,55.5,0.5612541
154.5,55.5,0.6253862
164.5,55.5,0.09512999
169.5,55.5,0.32504833
171.5,55.5,0.33141163
175.5,55.5,0.32582703
176.5,55.5,0.32648954
177.5,55.5,0.32717633
-177.5,54.5,0.34738973
-176.5,54.5,0.35516152
-175.5,54.5,0.36639607
-173.5,54.5,0.38373044
-169.5,54.5,0.6002326
-168.5,54.5,0.8061606
-153.5,54.5,0.29437527
-152.5,54.5,0.2905135
-149.5,54.5,0.41741958
-148.5,54.5,0.38209787
-139.5,54.5,0.33265808
-136.5,54.5,0.3583344
140.5,54.5,0.75284135
147.5,54.5,0.49002877
152.5,54.5,0.5833485
154.5,54.5,0.6834848
162.5,54.5,0.3061804
167.5,54.5,0.87171924
169.5,54.5,0.41112897
170.5,54.5,0.42136818
171.5,54.5,0.3329254
173.5,54.5,0.3344573
174.5,54.5,0.3265973
176.5,54.5,0.53014934
177.5,54.5,0.59977573
179.5,54.5,0.85494137
-179.5,53.5,0.7190358
-176.5,53.5,0.3488476
-160.5,53.5,0.06425359
-158.5,53.5,0.20237252
-156.5,53.5,0.23071732
-155.5,53.5,0.25308365
-151.5,53.5,0.2360384
-150.5,53.5,0.24290763
-136.5,53.5,0.3216617
-135.5,53.5,0.27962464
-134.5,53.5,0.3032805
148.5,53.5,0.41643584
150.5,53.5,0.4912126
151.5,53.5,0.5515593
153.5,53.5,0.6075695
167.5,53.5,0.116752446
168.5,53.5,0.2457569
170.5,53.5,0.66646206
171.5,53.5,0.43582186
175.5,53.5,0.32761332
176.5,53.5,0.3340846
178.5,53.5,0.5045365
179.5,53.5,0.55076826
-178.5,52.5,0.39464435
-163.5,52.5,0.17782491
-162.5,52.5,0.2214621
-159.5,52.5,0.22892137
-158.5,52.5,0.22846943
-157.5,52.5,0.23006351
-152.5,52.5,0.24111612
-135.5,52.5,0.19863054
146.5,52.5,0.39016357
151.5,52.5,0.51619166
164.5,52.5,0.18352301
167.5,52.5,0.26479438
168.5,52.5,0.2304943
169.5,52.5,0.31731325
178.5,52.5,0.6224578
-164.5,51.5,0.23175998
-162.5,51.5,0.23164704
-161.5,51.5,0.23326921
-133.5,51.5,0.18350539
-132.5,51.5,0.20714132
-130.5,51.5,0.43853018
146.5,51.5,0.4466508
148.5,51.5,0.43165153
149.5,51.5,0.4344422
150.5,51.5,0.4554474
152.5,51.5,0.5517529
160.5,51.5,0.01715943
163.5,51.5,0.16162735
166.5,51.5,0.29053307
167.5,51.5,0.66026086
169.5,51.5,0.37498564
173.5,51.5,0.041362975
-179.5,50.5,0.09481902
-178.5,50.5,0.082753785
-177.5,50.5,0.07465384
-174.5,50.5,0.07713793
-173.5,50.5,0.12141626
-172.5,50.5,0.13757694
-170.5,50.5,0.17032501
-168.5,50.5,0.24285136
-165.5,50.5,0.19646935
-163.5,50.5,0.20198323
-132.5,50.5,0.14340316
-129.5,50.5,0.27976945
146.5,50.5,0.49622297
148.5,50.5,0.44994384
149.5,50.5,0.42329946
153.5,50.5,0.49885687
154.5,50.5,0.43907803
158.5,50.5,0.21296874
163.5,50.5,0.13004196
166.5,50.5,0.19542633
168.5,50.5,0.27094853
170.5,50.5,0.23828654
172.5,50.5,0.12708947
173.5,50.5,0.20208146
174.5,50.5,0.2485264
177.5,50.5,0.05545136
-179.5,49.5,0.1816846
-178.5,49.5,0.22673556
-175.5,49.5,0.20375198
-174.5,49.5,0.15731259
-173.5,49.5,0.20896876
-167.5,49.5,0.15016621
-129.5,49.5,0.16103943
145.5,49.5,0.60670745
146.5,49.5,0.51384515
149.5,49.5,0.49389768
150.5,49.5,0.48039782
154.5,49.5,0.63633066
157.5,49.5,0.04350045
158.5,49.5,0.041023828
160.5,49.5,0.14040983
167.5,49.5,0.13929673
168.5,49.5,0.22831902
169.5,49.5,0.112173475
172.5,49.5,0.16221425
177.5,49.5,0.20816086
178.5,49.5,0.2714797
-179.5,48.5,0.13071267
-178.5,48.5,0.16622554
-177.5,48.5,0.14296784
-176.5,48.5,0.1700972
-173.5,48.5,0.14772914
-172.5,48.5,0.1605977
-171.5,48.5,0.17001477
-130.5,48.5,0.086365685
-128.5,48.5,0.116945215
151.5,48.5,0.12201296
155.5,48.5,0.48360747
156.5,48.5,0.06514618
157.5,48.5,0.0945105
159.5,48.5,0.113190435
161.5,48.5,0.124906406
164.5,48.5,0.09789612
166.5,48.5,0.1125162
171.5,48.5,0.23229723
172.5,48.5,0.31111065
175.5,48.5,0.2784409
178.5,48.5,0.15087974
179.5,48.5,0.14614892
-129.5,47.5,0.060951415
145.5,47.5,0.43827787
149.5,47.5,0.12434891
150.5,47.5,0.0923685
151.5,47.5,0.16189015
161.5,47.5,0.13329801
164.5,47.5,0.11553526
169.5,47.5,0.6460003
176.5,47.5,0.1075211
177.5,47.5,0.12430065
-125.5,46.5,0.092354245
146.5,46.5,0.17178185
147.5,46.5,0.15512183
150.5,46.5,0.13655895
153.5,46.5,0.1817888
156.5,46.5,0.19073173
157.5,46.5,0.24985002
176.5,46.5,0.10743513
-125.5,45.5,0.049066294
139.5,45.5,0.5428338
144.5,45.5,0.55428797
155.5,45.5,0.18838565
157.5,45.5,0.18215925
159.5,45.5,0.14567068
178.5,45.5,0.10504405
179.5,45.5,0.080735415
-124.5,44.5,0.24366243
139.5,44.5,0.49525672
140.5,44.5,0.3947126
149.5,44.5,0.2665637
150.5,44.5,0.04002732
151.5,44.5,0.018797567
152.5,44.5,0.081944205
156.5,44.5,0.1372825
-127.5,43.5,0.012433223
138.5,43.5,0.08030782
151.5,43.5,0.14489539
152.5,43.5,0.14004146
153.5,43.5,0.09767996
156.5,43.5,0.07795375
-127.5,42.5,0.01052334
-125.5,42.5,0.02070323
137.5,42.5,0.06645932
148.5,42.5,0.06595344
150.5,42.5,0.08328309
151.5,42.5,0.065962486
154.5,42.5,0.02862418
-127.5,41.5,0.007255755
-125.5,41.5,0.021779815
