X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-151.5,56.5,train,0.006900943581322487,57.935476838078436,0.5839860292934148
-153.5,55.5,train,0.001704377661550503,14.673243976409916,0.2574432674507434
-154.5,54.5,train,0.0013291326533157752,9.62648876456116,0.21282617410144186
-155.5,55.5,train,0.03220982882114627,99.09822971844059,0.867584902704244
-157.5,54.5,train,0.008037912355875178,68.20331686008232,0.6204996345914885
-158.5,54.5,train,0.021453088876470756,94.10434462708156,0.8135688722997502
-162.5,53.5,train,0.0017645548116890582,14.886292173725998,0.2641320520249994
-164.5,57.5,train,0.0129500569056071,88.84887732957293,0.7248404092665613
-165.5,57.5,train,0.012944594891065687,88.84057567518938,0.7247562618049395
-166.5,54.5,train,0.04477488517153724,100.0,0.9010679524116888
-166.5,55.5,train,0.03537864898082006,100.0,0.8779981808314847
-166.5,57.5,train,0.012611207059435423,87.64941554271236,0.7195208132463664
-167.5,54.5,train,0.03654117081747117,100.0,0.881419294629264
-167.5,55.5,train,0.02743522619604552,96.13664916326611,0.8480422426669608
-167.5,56.5,train,0.01496954217087033,91.71134046295576,0.7527843336787583
-167.5,57.5,train,0.012422216110387668,87.14886545016427,0.7164635231510628
-167.5,59.5,train,0.011087316395424896,84.26904672587285,0.6928126622205706
-168.5,57.5,train,0.013899677863661372,90.28330742009503,0.7387276044108837
-169.5,52.5,train,0.03799639721512627,100.0,0.8854405493275578
-169.5,57.5,train,0.01384434977604495,90.20809500202989,0.7379570599276888
-169.5,59.5,train,0.010505152159970024,83.40848116632367,0.6812160441919488
-170.5,52.5,train,0.04514353967071125,100.0,0.9017965193881882
-170.5,54.5,train,0.01249549067439749,87.3297103829919,0.7176567572215701
-170.5,58.5,train,0.010507985388708951,83.42033925674467,0.6812746014634032
-170.5,59.5,train,0.01011507890743671,80.55101625874529,0.6729432580327586
-171.5,51.5,train,0.002167696833262624,18.848932037123742,0.30601107682728357
-171.5,53.5,train,0.007114169215160303,58.909974345099045,0.5913595474063342
-171.5,59.5,train,0.009522427122588047,77.66981733153774,0.6595186344839294
-171.5,60.5,train,0.007887177991056035,67.60596382494222,0.616031709334289
-172.5,53.5,train,0.004107611995884601,40.56215905278385,0.45520589543768764
-172.5,54.5,train,0.003266457038221567,33.418645241968434,0.399201329380339
-172.5,58.5,train,0.012744029864338724,88.12731738875372,0.7216303217458223
-173.5,51.5,train,0.0016896064020796798,14.64390791157542,0.2557827901574112
-173.5,56.5,train,0.005554027534644963,48.401942075401536,0.5304680569022063
-173.5,57.5,train,0.010974193656630151,84.17359688265768,0.6906257900705511
-173.5,59.5,train,0.010292596378506148,82.3659608496963,0.6767607172674532
-173.5,60.5,train,0.008696980897325637,75.24181801983384,0.6388730037790296
-174.5,57.5,train,0.0018438215324326117,15.561474553791902,0.2727609244880834
-174.5,59.5,train,0.008974640394005716,75.9174985104463,0.6460915458187764
-174.5,60.5,train,0.008767632855185096,75.41347248901056,0.6407375879943035
-175.5,52.5,train,0.004061579060073928,40.352593407401486,0.45241244670020747
-175.5,60.5,train,0.00868723580201605,75.21814321055305,0.6386142998196005
-176.5,59.5,train,0.011013410083549155,84.20668662118798,0.6913874336760659
-177.5,51.5,train,0.016899311999047973,92.43687479192607,0.77465286454731
-177.5,58.5,train,0.0015793520815158277,12.617869032888539,0.24315023888814583
-177.5,60.5,train,0.008717597533255782,75.29190423327267,0.6394190966976749
-177.5,61.5,train,0.007988166176946119,68.00616454482277,0.6190366451429926
-178.5,60.5,train,0.008545048270693427,74.03337229310144,0.6347970301317799
-179.5,51.5,train,0.022622640604878494,94.50169016625628,0.8214864985213439
-179.5,52.5,train,0.02487079078259681,95.26542991467129,0.8349597474105453
-179.5,60.5,train,0.004944364247356959,45.44603220686387,0.5014371100104551
172.5,53.5,train,0.0022046449007363323,19.73474585543367,0.3096120800969442
173.5,53.5,train,0.0024867763219178145,25.51844126082433,0.33592376409835684
174.5,51.5,train,9.364707078018217E-4,5.470335914789803,0.16001224481656295
175.5,51.5,train,0.00828113918432272,72.47872394139205,0.6274939161436696
175.5,52.5,train,0.043982495946080724,100.0,0.8994647814009601
176.5,51.5,train,0.0012704710621593304,9.116394933372462,0.20536203265692154
176.5,52.5,train,0.00923875822588524,76.63919154729146,0.6526952177492014
177.5,51.5,train,0.0088124109257389,75.52226747113988,0.6419093951603279
177.5,52.5,train,0.0037326098397909044,36.69076387450381,0.43158378544998693
