X,Y,GadusMacrocephalus_PA1_RUN4 logistic values
-178.5,72.5,0.08847756
-173.5,71.5,0.1496388
-177.5,70.5,0.17704456
-176.5,70.5,0.16421732
-175.5,70.5,0.17251909
-171.5,70.5,0.20311955
-170.5,70.5,0.20894825
-177.5,69.5,0.21865724
-176.5,69.5,0.1989042
-175.5,69.5,0.20335275
-174.5,69.5,0.21305116
-172.5,69.5,0.2254994
-170.5,69.5,0.2444283
-168.5,69.5,0.27428088
-166.5,69.5,0.3319462
-176.5,68.5,0.21452944
-174.5,68.5,0.24863409
-169.5,68.5,0.29157406
-168.5,68.5,0.32078296
-172.5,67.5,0.26763788
-168.5,67.5,0.34745556
-167.5,67.5,0.38453844
-169.5,66.5,0.34166384
-168.5,66.5,0.3736483
-167.5,66.5,0.4090988
-169.5,64.5,0.34067962
-179.5,63.5,0.5909294
-167.5,63.5,0.5862465
-177.5,62.5,0.518704
-176.5,62.5,0.50844055
-175.5,62.5,0.5074188
-167.5,62.5,0.60481405
-179.5,61.5,0.5643537
-178.5,61.5,0.54247516
-169.5,61.5,0.5643295
-167.5,61.5,0.6068701
-170.5,60.5,0.5806945
-169.5,60.5,0.5875987
-167.5,60.5,0.60364103
175.5,60.5,0.028770084
176.5,60.5,0.022710346
178.5,60.5,0.051314075
158.5,59.5,0.50072336
159.5,59.5,0.5112891
176.5,59.5,0.01489161
-179.5,58.5,0.017712342
-145.5,58.5,0.08373099
-142.5,58.5,0.24174207
156.5,58.5,0.46913326
157.5,58.5,0.5004
167.5,58.5,0.01551446
168.5,58.5,0.02377032
169.5,58.5,0.046310205
171.5,58.5,0.20852247
175.5,58.5,0.03269405
176.5,58.5,0.014743683
-178.5,57.5,0.15189958
-177.5,57.5,0.1934731
-176.5,57.5,0.267591
-175.5,57.5,0.118017405
-148.5,57.5,0.24847543
-144.5,57.5,0.16336654
-143.5,57.5,0.14608887
144.5,57.5,0.5503945
145.5,57.5,0.5718172
147.5,57.5,0.5522848
150.5,57.5,0.5085985
154.5,57.5,0.42561984
155.5,57.5,0.5043192
165.5,57.5,0.020298265
167.5,57.5,0.023345718
169.5,57.5,0.16584039
170.5,57.5,0.15763915
171.5,57.5,0.42553127
172.5,57.5,0.10053031
175.5,57.5,0.15044746
177.5,57.5,0.1462822
178.5,57.5,0.027517306
-178.5,56.5,0.1597482
-176.5,56.5,0.17940995
