X,Y,GadusMacrocephalus_PA1_RUN9 logistic values
-179.5,72.5,0.074223384
-176.5,71.5,0.12731977
-175.5,71.5,0.13632835
-174.5,71.5,0.14204282
-176.5,70.5,0.165935
-178.5,69.5,0.22291392
-177.5,69.5,0.22790356
-176.5,69.5,0.2093102
-174.5,69.5,0.22512847
-172.5,69.5,0.23126607
-168.5,69.5,0.2749303
-176.5,68.5,0.2334319
-174.5,68.5,0.27570045
-172.5,68.5,0.26528814
-171.5,68.5,0.2715594
-168.5,68.5,0.32768944
-167.5,68.5,0.36952114
-169.5,67.5,0.33289108
-167.5,67.5,0.39329782
-167.5,66.5,0.41256142
-169.5,65.5,0.33001935
-168.5,65.5,0.3498884
-169.5,64.5,0.38066307
-168.5,64.5,0.4227332
-176.5,63.5,0.5144368
-167.5,63.5,0.57078224
-178.5,62.5,0.5978423
-176.5,62.5,0.5644734
-173.5,62.5,0.543433
-167.5,62.5,0.5945046
-166.5,62.5,0.63521415
-179.5,61.5,0.63661087
-174.5,61.5,0.5948303
-172.5,61.5,0.56964725
-167.5,61.5,0.6027668
-166.5,61.5,0.63657814
-170.5,60.5,0.6078764
-168.5,60.5,0.6089946
-167.5,60.5,0.60802126
177.5,60.5,0.13416104
157.5,59.5,0.5505909
158.5,59.5,0.5797655
-179.5,58.5,0.11389828
-145.5,58.5,0.20790014
155.5,58.5,0.52549565
156.5,58.5,0.5504347
157.5,58.5,0.5755246
167.5,58.5,0.101869784
168.5,58.5,0.13079533
169.5,58.5,0.19048034
172.5,58.5,0.124214925
-177.5,57.5,0.32534355
-176.5,57.5,0.38574326
-148.5,57.5,0.38205785
-146.5,57.5,0.20779002
-143.5,57.5,0.2862246
-140.5,57.5,0.34532872
144.5,57.5,0.64150614
145.5,57.5,0.6569646
149.5,57.5,0.62074417
150.5,57.5,0.60991794
155.5,57.5,0.5979422
165.5,57.5,0.12026511
166.5,57.5,0.11399357
169.5,57.5,0.36430487
176.5,57.5,0.21218944
177.5,57.5,0.27801934
179.5,57.5,0.1116289
-178.5,56.5,0.29795617
-175.5,56.5,0.32918918
-146.5,56.5,0.7400699
-144.5,56.5,0.28137752
-143.5,56.5,0.2885871
-142.5,56.5,0.2912924
-139.5,56.5,0.33781686
141.5,56.5,0.6436449
142.5,56.5,0.63726646
144.5,56.5,0.6025872
145.5,56.5,0.62613857
148.5,56.5,0.63080853
151.5,56.5,0.5921968
164.5,56.5,0.103240795
166.5,56.5,0.2299526
168.5,56.5,0.17016354
169.5,56.5,0.24778065
170.5,56.5,0.6974126
178.5,56.5,0.28137875
-177.5,55.5,0.30324116
-176.5,55.5,0.30925524
-175.5,55.5,0.31946853
-173.5,55.5,0.3648365
-172.5,55.5,0.37125936
-171.5,55.5,0.39730105
-150.5,55.5,0.21505137
-149.5,55.5,0.26526177
-146.5,55.5,0.24534865
-143.5,55.5,0.27324167
-142.5,55.5,0.27051005
-141.5,55.5,0.3035096
-140.5,55.5,0.31904674
140.5,55.5,0.6360368
144.5,55.5,0.5942956
145.5,55.5,0.621668
148.5,55.5,0.58702374
150.5,55.5,0.607387
164.5,55.5,0.08077289
167.5,55.5,0.47216937
168.5,55.5,0.31761494
169.5,55.5,0.27395192
170.5,55.5,0.43606713
173.5,55.5,0.27786648
174.5,55.5,0.27855316
177.5,55.5,0.28055823
178.5,55.5,0.27854636
-175.5,54.5,0.32041347
-169.5,54.5,0.54561824
-155.5,54.5,0.08701366
-153.5,54.5,0.24712074
-152.5,54.5,0.24634139
-151.5,54.5,0.24919835
-149.5,54.5,0.38391057
-147.5,54.5,0.24237165
-141.5,54.5,0.28589928
-135.5,54.5,0.38401854
140.5,54.5,0.6329322
143.5,54.5,0.56832
144.5,54.5,0.39518976
147.5,54.5,0.4872489
149.5,54.5,0.5557627
151.5,54.5,0.5986286
152.5,54.5,0.60493696
166.5,54.5,0.4963728
167.5,54.5,0.87292266
169.5,54.5,0.3603024
174.5,54.5,0.27666205
175.5,54.5,0.49567112
176.5,54.5,0.4923097
179.5,54.5,0.8568109
-178.5,53.5,0.29335162
-174.5,53.5,0.32601458
-161.5,53.5,0.057298772
-160.5,53.5,0.039818596
-159.5,53.5,0.10881951
-158.5,53.5,0.15174124
-157.5,53.5,0.17805877
-153.5,53.5,0.18323536
-152.5,53.5,0.24455221
-151.5,53.5,0.19876751
-149.5,53.5,0.22648615
-136.5,53.5,0.3589461
-134.5,53.5,0.3510066
-133.5,53.5,0.44963288
146.5,53.5,0.30810988
148.5,53.5,0.413545
149.5,53.5,0.39088675
150.5,53.5,0.5055054
152.5,53.5,0.59266484
153.5,53.5,0.62584585
154.5,53.5,0.6946358
164.5,53.5,0.35335037
165.5,53.5,0.2726888
166.5,53.5,0.15818377
167.5,53.5,0.08348066
171.5,53.5,0.38561463
175.5,53.5,0.27693108
176.5,53.5,0.28379035
179.5,53.5,0.51577336
-164.5,52.5,0.06308021
-163.5,52.5,0.12640905
-162.5,52.5,0.16554105
-159.5,52.5,0.17906673
-158.5,52.5,0.18076634
-157.5,52.5,0.18433423
-155.5,52.5,0.20437418
-152.5,52.5,0.20485456
-134.5,52.5,0.3071353
145.5,52.5,0.39310783
146.5,52.5,0.35675678
147.5,52.5,0.40167892
148.5,52.5,0.46707582
149.5,52.5,0.48425344
150.5,52.5,0.5036225
151.5,52.5,0.5324205
152.5,52.5,0.6099065
154.5,52.5,0.69427776
161.5,52.5,0.02856559
167.5,52.5,0.21380818
168.5,52.5,0.18169653
-167.5,51.5,0.13924132
-164.5,51.5,0.17503794
-161.5,51.5,0.18310083
-160.5,51.5,0.19737555
-158.5,51.5,0.16198541
-134.5,51.5,0.23433292
-130.5,51.5,0.55342185
145.5,51.5,0.46381184
151.5,51.5,0.48810807
152.5,51.5,0.5648002
159.5,51.5,0.18377814
160.5,51.5,0.011026093
163.5,51.5,0.11914505
167.5,51.5,0.6328335
170.5,51.5,0.13399373
-177.5,50.5,0.04880226
-174.5,50.5,0.049934193
-173.5,50.5,0.083856516
-169.5,50.5,0.1432019
-166.5,50.5,0.13897607
-165.5,50.5,0.14807828
-164.5,50.5,0.16826543
-133.5,50.5,0.19755287
-131.5,50.5,0.23255435
-129.5,50.5,0.39284012
145.5,50.5,0.5312386
146.5,50.5,0.47520915
148.5,50.5,0.44423825
149.5,50.5,0.4221968
151.5,50.5,0.4249315
153.5,50.5,0.5115122
158.5,50.5,0.18877855
160.5,50.5,0.079403765
162.5,50.5,0.08139443
166.5,50.5,0.15059175
167.5,50.5,0.39869854
168.5,50.5,0.219939
172.5,50.5,0.09155541
173.5,50.5,0.15572447
176.5,50.5,0.11726512
177.5,50.5,0.035726324
178.5,50.5,0.024046855
179.5,50.5,0.045266338
-179.5,49.5,0.13725778
-178.5,49.5,0.17756595
-177.5,49.5,0.10240754
-175.5,49.5,0.15545505
-174.5,49.5,0.11543764
-172.5,49.5,0.17531171
-171.5,49.5,0.1255547
-168.5,49.5,0.113256045
-132.5,49.5,0.14843194
-131.5,49.5,0.19540818
-129.5,49.5,0.26340333
141.5,49.5,0.6252703
145.5,49.5,0.59383637
146.5,49.5,0.4970687
147.5,49.5,0.446129
148.5,49.5,0.48732266
149.5,49.5,0.5000194
151.5,49.5,0.4279048
154.5,49.5,0.65941995
158.5,49.5,0.02462646
163.5,49.5,0.06501399
164.5,49.5,0.09150527
169.5,49.5,0.07978687
175.5,49.5,0.14865205
176.5,49.5,0.14579058
177.5,49.5,0.1616395
-179.5,48.5,0.09640572
-177.5,48.5,0.106957465
-176.5,48.5,0.13017651
-172.5,48.5,0.123226054
-131.5,48.5,0.15232787
146.5,48.5,0.46612972
147.5,48.5,0.42695633
150.5,48.5,0.18232374
151.5,48.5,0.11063769
159.5,48.5,0.07826583
161.5,48.5,0.08927091
166.5,48.5,0.080912985
170.5,48.5,0.08168098
174.5,48.5,0.15956078
176.5,48.5,0.1231708
177.5,48.5,0.12575734
178.5,48.5,0.11355453
179.5,48.5,0.10937967
-129.5,47.5,0.13916698
-126.5,47.5,0.19349301
145.5,47.5,0.40888327
147.5,47.5,0.12759198
150.5,47.5,0.08046828
151.5,47.5,0.14519568
152.5,47.5,0.5514766
154.5,47.5,0.48009747
161.5,47.5,0.098066814
162.5,47.5,0.08039912
163.5,47.5,0.08034212
167.5,47.5,0.064031154
169.5,47.5,0.6221605
170.5,47.5,0.10756524
171.5,47.5,0.096269965
172.5,47.5,0.09554639
173.5,47.5,0.07678898
174.5,47.5,0.08796869
175.5,47.5,0.09696362
176.5,47.5,0.080206305
178.5,47.5,0.09877912
