X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-125.5,47.5,train,0.002883528496388173,26.410851401112158,0.374745804485468
-149.5,57.5,train,0.011096452341169726,87.92718429118871,0.697558897146025
-151.5,56.5,train,0.005945376822837623,49.61465070679329,0.552725466153695
-153.5,55.5,train,0.001269043601596171,10.708707113202447,0.20871946137976694
-154.5,54.5,train,9.534494248805921E-4,7.236353312791527,0.16539887269243891
-161.5,56.5,train,0.012519839286764794,89.81064579142314,0.7223983356395515
-162.5,53.5,train,0.0011958899197820404,10.002282715996078,0.19908316805212867
-162.5,56.5,train,0.013882188375193097,91.76477813658187,0.7426296846812377
-165.5,54.5,train,0.055664855648548485,100.0,0.9204461198026772
-165.5,57.5,train,0.010581787346430194,85.44377203861042,0.6874467018945117
-165.5,58.5,train,0.009189449361276277,83.5884922027969,0.6563636406685507
-166.5,54.5,train,0.038886081118172176,100.0,0.8898991443099988
-166.5,55.5,train,0.030593687106099388,98.0955714622145,0.8641116777815818
-166.5,56.5,train,0.013464275457961597,90.80459684744905,0.7367442570927388
-166.5,57.5,train,0.010547777058842654,85.42069836940148,0.686754592059767
-167.5,54.5,train,0.032608466766411465,99.6585988690196,0.8714283058384559
-167.5,56.5,train,0.013452297003270997,90.75811009088375,0.7365715949333559
-168.5,56.5,train,0.013195001048107884,90.24555277837275,0.7328073666048227
-168.5,57.5,train,0.01211008538105196,89.54670529799286,0.7156760885829774
-168.5,59.5,train,0.008644923155687333,81.36161877325466,0.6424576710475123
-169.5,52.5,train,0.03606942792256266,100.0,0.8823132356127429
-169.5,57.5,train,0.01244179700611715,89.7603737905224,0.7211426235595363
-170.5,52.5,train,0.04391074837871586,100.0,0.9012538080023303
-170.5,54.5,train,0.010444267383899109,85.350474091806,0.6846291802866277
-170.5,56.5,train,0.013104245275217087,90.1870988868186,0.7314538186772881
-170.5,57.5,train,0.012598652696235668,89.8614145255603,0.7236550299887256
-170.5,59.5,train,0.008601004906809566,80.93129977246534,0.6412868900999492
-171.5,51.5,train,0.0015870813072919824,14.059381676326359,0.24805207265551518
-171.5,56.5,train,0.018337644308287385,93.04131899255763,0.792165946705309
-171.5,57.5,train,0.01244394159424157,89.76175525618041,0.7211772820870301
-171.5,58.5,train,0.00962192912515843,84.79266458455236,0.6666605647996232
-171.5,59.5,train,0.008312941533084546,76.0818305609762,0.6334133905660314
-172.5,51.5,train,0.0019624768401530425,18.704837536495308,0.289725480738673
-172.5,52.5,train,0.04100946057309122,100.0,0.8950013497180521
-172.5,54.5,train,0.0025309611254047946,23.302723398319976,0.344720948485097
-172.5,56.5,train,0.0200127269266587,93.5212389827273,0.8061903458431586
-172.5,58.5,train,0.011929691161146559,89.43051408766165,0.7126122907060429
-173.5,57.5,train,0.011032110603474933,87.44599646165136,0.6963306366191021
-173.5,59.5,train,0.009648604421937698,84.81075900496056,0.667275510316728
-174.5,57.5,train,0.0015030984700371104,13.030344155521892,0.238050683871372
-174.5,58.5,train,0.011441281590344887,89.11591661659656,0.7039758372871612
-175.5,52.5,train,0.0033533751919189213,31.117959845281177,0.41072775442306214
-175.5,59.5,train,0.009524995561038727,84.7269098270636,0.6644066884290099
-176.5,52.5,train,0.0026845771512649815,24.543546534502017,0.35815020997486857
-176.5,58.5,train,0.005262670681824314,45.047803746804625,0.5224133633963918
-176.5,59.5,train,0.011164133292258776,88.34108052768521,0.6988402246476701
-176.5,61.5,train,0.007537836793926818,68.67611281078086,0.6104038716286405
-177.5,58.5,train,0.001416070421372788,11.904073713165534,0.22740202754947533
-177.5,61.5,train,0.007797330015351717,69.256490805701,0.6184221245770284
-178.5,58.5,train,7.378708770353667E-4,4.897844737353793,0.13297444460091484
-178.5,60.5,train,0.008702508500979702,81.91020396444485,0.6439812614008043
-179.5,51.5,train,0.02095882910228155,93.79230812563766,0.813305761584324
141.5,47.5,train,0.008437318563490462,79.58437226547836,0.6368549307865763
172.5,52.5,train,0.014409502484742856,91.91585986966246,0.749690598734344
173.5,53.5,train,0.0019159452790271849,18.20264856005073,0.28481244727118005
175.5,51.5,train,0.007083183809457167,59.96788755404871,0.5955117524391292
176.5,51.5,train,9.085474105604986E-4,6.842305001770241,0.15884684405680385
176.5,52.5,train,0.00802769953267946,71.81430404575427,0.6252688654730908
177.5,51.5,train,0.0075352444416858224,68.6703148021773,0.610322068413605
178.5,51.5,train,0.039285547003614585,100.0,0.8908965339557167
