Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.43238E-12,0.000000001,0,0.848484848,0,0
5.16959E-12,0.000000003,0.000000001,0.834343434,0,0
2.99707E-11,0.000000011,0.000000005,0.822222222,0,0
5.40106E-11,0.000000028,0.000000009,0.814141414,0,0
3.76171E-10,0.000000103,0.000000062,0.806060606,0,0
5.43336E-10,0.000000256,0.00000009,0.8,0,0
5.41063E-9,0.000001476,0.000000896,0.791919192,0,0
7.32474E-9,0.000002799,0.000001212,0.787878788,0,0
1.23986E-7,0.000021293,0.000020521,0.77979798,0,0
1.88217E-7,0.000040115,0.000031152,0.777777778,0,0
3.28042E-7,0.000072919,0.000054293,0.775757576,0,0
3.40755E-7,0.000106995,0.000056397,0.773737374,0,0
5.97305E-7,0.000258185,0.000098853,0.767676768,0,0
7.58154E-7,0.00054155,0.00012547,0.75959596,0,0
1.69493E-6,0.001125836,0.000280458,0.749494949,0,0
3.67358E-6,0.002835441,0.000607664,0.735353535,0,0
5.38554E-6,0.005074031,0.000890596,0.725252525,0,0
1.28025E-5,0.010609788,0.002114535,0.711111111,0,0
3.07875E-5,0.026556542,0.00506996,0.698989899,0,0
7.51288E-5,0.050484259,0.012282234,0.688888889,0,0
9.48411E-5,0.102764605,0.015455043,0.676767677,0,0
1.47549E-4,0.210272051,0.023839351,0.658585859,0,0
2.10129E-4,0.319795145,0.033610545,0.646464646,0,0
2.19592E-4,0.406835574,0.035071151,0.638383838,0,0
2.51396E-4,0.504001405,0.039947725,0.63030303,0,0
2.66553E-4,0.609120097,0.042254403,0.622222222,0,0
2.80941E-4,0.718893359,0.044433914,0.614141414,0,0
3.01676E-4,0.77859847,0.047557359,0.61010101,0,0
3.02334E-4,0.808831867,0.047656138,0.608080808,0,0
3.11215E-4,0.901367288,0.048987479,0.602020202,0,0
3.20295E-4,1.028522848,0.050344789,0.593939394,0,0
3.23286E-4,1.125131514,0.050790952,0.587878788,0,0
3.32142E-4,1.223716052,0.052109819,0.581818182,0,0
3.60595E-4,1.329799495,0.05632238,0.575757576,0,0
3.68018E-4,1.402758543,0.057415219,0.571717172,0,0
3.76037E-4,1.514302519,0.058592985,0.565656566,0,0
3.98905E-4,1.787271854,0.061935637,0.551515152,0,0
4.34479E-4,2.037532123,0.067088369,0.539393939,0,0
4.53131E-4,2.260267349,0.069767571,0.529292929,0,0
